row,did,name,version,uploader,status,format,MajorityClassSize,MaxNominalAttDistinctValues,MinorityClassSize,NumberOfClasses,NumberOfFeatures,NumberOfInstances,NumberOfInstancesWithMissingValues,NumberOfMissingValues,NumberOfNumericFeatures,NumberOfSymbolicFeatures
73,73,"BNG(labor,nominal,1000000)",1,1,active,ARFF,645520.0,3.0,354480.0,2.0,17.0,1000000.0,0.0,0.0,0.0,17.0
74,74,"BNG(letter,nominal,1000000)",1,1,active,ARFF,40828.0,26.0,36483.0,26.0,17.0,1000000.0,0.0,0.0,0.0,17.0
75,75,"BNG(autos,nominal,1000000)",1,1,active,ARFF,323286.0,22.0,2430.0,7.0,26.0,1000000.0,0.0,0.0,0.0,26.0
76,76,"BNG(lymph,nominal,1000000)",1,1,active,ARFF,543512.0,8.0,16553.0,4.0,19.0,1000000.0,0.0,0.0,0.0,19.0
77,77,"BNG(breast-cancer,nominal,1000000)",1,1,active,ARFF,702823.0,13.0,297177.0,2.0,10.0,1000000.0,0.0,0.0,0.0,10.0
78,78,"BNG(mfeat-fourier,nominal,1000000)",1,1,active,ARFF,100595.0,10.0,99773.0,10.0,77.0,1000000.0,0.0,0.0,0.0,77.0
115,115,"BNG(mfeat-karhunen,nominal,1000000)",1,1,active,ARFF,100393.0,10.0,99523.0,10.0,65.0,1000000.0,0.0,0.0,0.0,65.0
116,116,"BNG(bridges_version1,nominal,1000000)",1,1,active,ARFF,422711.0,108.0,95098.0,6.0,13.0,1000000.0,0.0,0.0,0.0,13.0
117,117,"BNG(bridges_version2,nominal,1000000)",1,1,active,ARFF,422711.0,108.0,95098.0,6.0,13.0,1000000.0,0.0,0.0,0.0,13.0
118,118,"BNG(mfeat-zernike,nominal,1000000)",1,1,active,ARFF,100380.0,10.0,99430.0,10.0,48.0,1000000.0,0.0,0.0,0.0,48.0
119,119,"BNG(cmc,nominal,55296)",1,1,active,ARFF,23655.0,4.0,12555.0,3.0,10.0,55296.0,0.0,0.0,0.0,10.0
120,120,BNG(mushroom),1,1,active,ARFF,518298.0,12.0,481702.0,2.0,23.0,1000000.0,0.0,0.0,0.0,23.0
121,121,"BNG(colic.ORIG,nominal,1000000)",1,1,active,ARFF,662777.0,338.0,337223.0,2.0,28.0,1000000.0,0.0,0.0,0.0,28.0
122,122,"BNG(colic,nominal,1000000)",1,1,active,ARFF,629653.0,6.0,370347.0,2.0,23.0,1000000.0,0.0,0.0,0.0,23.0
123,123,BNG(optdigits),1,1,active,ARFF,101675.0,10.0,98637.0,10.0,65.0,1000000.0,0.0,0.0,0.0,65.0
124,124,"BNG(credit-a,nominal,1000000)",1,1,active,ARFF,554898.0,14.0,445102.0,2.0,16.0,1000000.0,0.0,0.0,0.0,16.0
125,125,"BNG(page-blocks,nominal,295245)",1,1,active,ARFF,265211.0,5.0,1558.0,5.0,11.0,295245.0,0.0,0.0,0.0,11.0
126,126,"BNG(credit-g,nominal,1000000)",1,1,active,ARFF,699587.0,11.0,300413.0,2.0,21.0,1000000.0,0.0,0.0,0.0,21.0
127,127,"BNG(pendigits,nominal,1000000)",1,1,active,ARFF,104573.0,10.0,95300.0,10.0,17.0,1000000.0,0.0,0.0,0.0,17.0
128,128,"BNG(cylinder-bands,nominal,1000000)",1,1,active,ARFF,577023.0,429.0,422977.0,2.0,40.0,1000000.0,0.0,0.0,0.0,40.0
129,129,"BNG(dermatology,nominal,1000000)",1,1,active,ARFF,304611.0,6.0,54922.0,6.0,35.0,1000000.0,0.0,0.0,0.0,35.0
130,130,BNG(segment),1,1,active,ARFF,143586.0,7.0,142366.0,7.0,20.0,1000000.0,0.0,0.0,0.0,20.0
131,131,"BNG(sick,nominal,1000000)",1,1,active,ARFF,938761.0,5.0,61239.0,2.0,30.0,1000000.0,0.0,0.0,0.0,30.0
132,132,"BNG(sonar,nominal,1000000)",1,1,active,ARFF,533556.0,3.0,466444.0,2.0,61.0,1000000.0,0.0,0.0,0.0,61.0
133,133,"BNG(glass,nominal,137781)",1,1,active,ARFF,48277.0,7.0,307.0,7.0,10.0,137781.0,0.0,0.0,0.0,10.0
134,134,BNG(soybean),1,1,active,ARFF,133345.0,19.0,12441.0,19.0,36.0,1000000.0,0.0,0.0,0.0,36.0
135,135,BNG(spambase),1,1,active,ARFF,605948.0,3.0,394052.0,2.0,58.0,1000000.0,0.0,0.0,0.0,58.0
136,136,"BNG(heart-c,nominal,1000000)",1,1,active,ARFF,540810.0,5.0,1618.0,5.0,14.0,1000000.0,0.0,0.0,0.0,14.0
137,137,BNG(tic-tac-toe),1,1,active,ARFF,25702.0,3.0,13664.0,2.0,10.0,39366.0,0.0,0.0,0.0,10.0
138,138,"BNG(heart-h,nominal,1000000)",1,1,active,ARFF,634862.0,5.0,1659.0,5.0,14.0,1000000.0,0.0,0.0,0.0,14.0
139,139,BNG(trains),1,1,active,ARFF,501119.0,8.0,498881.0,2.0,33.0,1000000.0,0.0,0.0,0.0,33.0
140,140,"BNG(heart-statlog,nominal,1000000)",1,1,active,ARFF,554324.0,3.0,445676.0,2.0,14.0,1000000.0,0.0,0.0,0.0,14.0
141,141,"BNG(vehicle,nominal,1000000)",1,1,active,ARFF,258113.0,4.0,234833.0,4.0,19.0,1000000.0,0.0,0.0,0.0,19.0
142,142,"BNG(hepatitis,nominal,1000000)",1,1,active,ARFF,791048.0,3.0,208952.0,2.0,20.0,1000000.0,0.0,0.0,0.0,20.0
143,143,BNG(vote),1,1,active,ARFF,80409.0,2.0,50663.0,2.0,17.0,131072.0,0.0,0.0,0.0,17.0
144,144,"BNG(hypothyroid,nominal,1000000)",1,1,active,ARFF,922578.0,5.0,677.0,4.0,30.0,1000000.0,0.0,0.0,0.0,30.0
146,146,BNG(ionosphere),1,1,active,ARFF,641025.0,3.0,358975.0,2.0,35.0,1000000.0,0.0,0.0,0.0,35.0
147,147,"BNG(waveform-5000,nominal,1000000)",1,1,active,ARFF,337805.0,3.0,330548.0,3.0,41.0,1000000.0,0.0,0.0,0.0,41.0
148,148,"BNG(zoo,nominal,1000000)",1,1,active,ARFF,396212.0,100.0,42992.0,7.0,18.0,1000000.0,0.0,0.0,0.0,18.0
149,149,CovPokElec,1,1,active,ARFF,654548.0,10.0,2.0,10.0,73.0,1455525.0,0.0,0.0,22.0,51.0
150,150,covertype,3,1,active,ARFF,283301.0,7.0,2747.0,7.0,55.0,581012.0,0.0,0.0,10.0,45.0
151,151,electricity,1,1,active,ARFF,26075.0,7.0,19237.0,2.0,9.0,45312.0,0.0,0.0,7.0,2.0
152,152,Hyperplane_10_1E-3,1,1,active,ARFF,500007.0,2.0,499993.0,2.0,11.0,1000000.0,0.0,0.0,10.0,1.0
153,153,Hyperplane_10_1E-4,1,1,active,ARFF,500166.0,2.0,499834.0,2.0,11.0,1000000.0,0.0,0.0,10.0,1.0
154,154,LED(50000),1,1,active,ARFF,100824.0,10.0,99427.0,10.0,25.0,1000000.0,0.0,0.0,0.0,25.0
155,155,pokerhand,1,1,active,ARFF,415526.0,10.0,2.0,10.0,11.0,829201.0,0.0,0.0,5.0,6.0
156,156,RandomRBF_0_0,1,1,active,ARFF,300096.0,5.0,92713.0,5.0,11.0,1000000.0,0.0,0.0,10.0,1.0
157,157,RandomRBF_10_1E-3,1,1,active,ARFF,300096.0,5.0,92713.0,5.0,11.0,1000000.0,0.0,0.0,10.0,1.0
158,158,RandomRBF_10_1E-4,1,1,active,ARFF,300096.0,5.0,92713.0,5.0,11.0,1000000.0,0.0,0.0,10.0,1.0
159,159,RandomRBF_50_1E-3,1,1,active,ARFF,300096.0,5.0,92713.0,5.0,11.0,1000000.0,0.0,0.0,10.0,1.0
160,160,RandomRBF_50_1E-4,1,1,active,ARFF,300096.0,5.0,92713.0,5.0,11.0,1000000.0,0.0,0.0,10.0,1.0
161,161,SEA(50),1,1,active,ARFF,614342.0,2.0,385658.0,2.0,4.0,1000000.0,0.0,0.0,3.0,1.0
162,162,SEA(50000),1,1,active,ARFF,614332.0,2.0,385668.0,2.0,4.0,1000000.0,0.0,0.0,3.0,1.0
163,163,lung-cancer,1,1,active,ARFF,13.0,4.0,9.0,3.0,57.0,32.0,5.0,5.0,0.0,57.0
164,164,molecular-biology_promoters,1,1,active,ARFF,53.0,4.0,53.0,2.0,59.0,106.0,0.0,0.0,0.0,59.0
171,171,primary-tumor,1,1,active,ARFF,84.0,21.0,1.0,21.0,18.0,339.0,207.0,225.0,0.0,18.0
172,172,shuttle-landing-control,1,1,active,ARFF,9.0,4.0,6.0,2.0,7.0,15.0,9.0,26.0,0.0,7.0
179,179,adult,1,1,active,ARFF,37155.0,41.0,11687.0,2.0,15.0,48842.0,3620.0,6465.0,2.0,13.0
180,180,covertype,1,1,active,ARFF,51682.0,7.0,1339.0,7.0,55.0,110393.0,0.0,0.0,14.0,41.0
181,181,yeast,1,1,active,ARFF,463.0,10.0,5.0,10.0,9.0,1484.0,0.0,0.0,8.0,1.0
182,182,satimage,1,1,active,ARFF,1531.0,6.0,625.0,6.0,37.0,6430.0,0.0,0.0,36.0,1.0
183,183,abalone,1,1,active,ARFF,689.0,28.0,1.0,28.0,9.0,4177.0,0.0,0.0,7.0,2.0
184,184,kropt,1,1,active,ARFF,4553.0,18.0,27.0,18.0,7.0,28056.0,0.0,0.0,0.0,7.0
185,185,baseball,1,1,active,ARFF,1215.0,7.0,57.0,3.0,18.0,1340.0,20.0,20.0,15.0,3.0
186,186,braziltourism,1,1,active,ARFF,318.0,7.0,1.0,7.0,9.0,412.0,49.0,96.0,4.0,5.0
187,187,wine,1,1,active,ARFF,71.0,3.0,48.0,3.0,14.0,178.0,0.0,0.0,13.0,1.0
188,188,eucalyptus,1,1,active,ARFF,214.0,27.0,105.0,5.0,20.0,736.0,95.0,448.0,14.0,6.0
189,189,kin8nm,1,1,active,ARFF,,,,0.0,9.0,8192.0,0.0,0.0,9.0,0.0
190,190,mbagrade,1,1,active,ARFF,,2.0,,0.0,3.0,61.0,0.0,0.0,2.0,1.0
191,191,wisconsin,1,1,active,ARFF,,,,0.0,33.0,194.0,0.0,0.0,33.0,0.0
192,192,vineyard,1,1,active,ARFF,,,,0.0,4.0,52.0,0.0,0.0,4.0,0.0
193,193,bolts,1,1,active,ARFF,,,,0.0,8.0,40.0,0.0,0.0,8.0,0.0
194,194,cleveland,1,1,active,ARFF,,4.0,,0.0,14.0,303.0,6.0,6.0,7.0,7.0
195,195,auto_price,1,1,active,ARFF,,6.0,,0.0,16.0,159.0,0.0,0.0,15.0,1.0
196,196,autoMpg,1,1,active,ARFF,,13.0,,0.0,8.0,398.0,6.0,6.0,5.0,3.0
197,197,cpu_act,1,1,active,ARFF,,,,0.0,22.0,8192.0,0.0,0.0,22.0,0.0
198,198,delta_elevators,1,1,active,ARFF,,,,0.0,7.0,9517.0,0.0,0.0,7.0,0.0
199,199,fruitfly,1,1,active,ARFF,,3.0,,0.0,5.0,125.0,0.0,0.0,3.0,2.0
200,200,pbc,1,1,active,ARFF,,4.0,,0.0,19.0,418.0,142.0,1239.0,11.0,8.0
201,201,pol,1,1,active,ARFF,,,,0.0,49.0,15000.0,0.0,0.0,49.0,0.0
202,202,autoHorse,1,1,active,ARFF,,,,,,,,,,
203,203,lowbwt,1,1,active,ARFF,,6.0,,0.0,10.0,189.0,0.0,0.0,3.0,7.0
204,204,cholesterol,1,1,active,ARFF,,4.0,,0.0,14.0,303.0,6.0,6.0,7.0,7.0
205,205,sleep,1,1,active,ARFF,,,,0.0,8.0,62.0,11.0,12.0,8.0,0.0
206,206,triazines,1,1,active,ARFF,,,,0.0,61.0,186.0,0.0,0.0,61.0,0.0
207,207,autoPrice,1,1,active,ARFF,,,,0.0,16.0,159.0,0.0,0.0,16.0,0.0
208,208,detroit,1,1,active,ARFF,,,,0.0,14.0,13.0,0.0,0.0,14.0,0.0
209,209,quake,1,1,active,ARFF,,,,0.0,4.0,2178.0,0.0,0.0,4.0,0.0
210,210,cloud,1,1,active,ARFF,,4.0,,0.0,7.0,108.0,0.0,0.0,5.0,2.0
211,211,longley,1,1,active,ARFF,,,,0.0,7.0,16.0,0.0,0.0,7.0,0.0
212,212,diabetes_numeric,1,1,active,ARFF,,,,0.0,3.0,43.0,0.0,0.0,3.0,0.0
213,213,pharynx,1,1,active,ARFF,,184.0,,0.0,12.0,195.0,2.0,2.0,2.0,10.0
214,214,baskball,1,1,active,ARFF,,,,0.0,5.0,96.0,0.0,0.0,5.0,0.0
215,215,2dplanes,1,1,active,ARFF,,,,0.0,11.0,40768.0,0.0,0.0,11.0,0.0
216,216,elevators,1,1,active,ARFF,,,,0.0,19.0,16599.0,0.0,0.0,19.0,0.0
217,217,pyrim,1,1,active,ARFF,,,,0.0,28.0,74.0,0.0,0.0,28.0,0.0
218,218,house_8L,1,1,active,ARFF,,,,0.0,9.0,22784.0,0.0,0.0,9.0,0.0
222,222,echoMonths,1,1,active,ARFF,,2.0,,0.0,10.0,130.0,69.0,97.0,7.0,3.0
223,223,stock,1,1,active,ARFF,,,,0.0,10.0,950.0,0.0,0.0,10.0,0.0
224,224,breastTumor,1,1,active,ARFF,,18.0,,0.0,10.0,286.0,9.0,9.0,2.0,8.0
225,225,puma8NH,1,1,active,ARFF,,,,0.0,9.0,8192.0,0.0,0.0,9.0,0.0
226,226,gascons,1,1,active,ARFF,,,,0.0,5.0,27.0,0.0,0.0,5.0,0.0
227,227,cpu_small,1,1,active,ARFF,,,,0.0,13.0,8192.0,0.0,0.0,13.0,0.0
228,228,elusage,1,1,active,ARFF,,12.0,,0.0,3.0,55.0,0.0,0.0,2.0,1.0
229,229,pwLinear,1,1,active,ARFF,,,,0.0,11.0,200.0,0.0,0.0,11.0,0.0
230,230,machine_cpu,1,1,active,ARFF,,,,0.0,7.0,209.0,0.0,0.0,7.0,0.0
231,231,hungarian,1,1,active,ARFF,,4.0,,0.0,14.0,294.0,293.0,782.0,7.0,7.0
232,232,fishcatch,1,1,active,ARFF,,7.0,,0.0,8.0,158.0,87.0,87.0,6.0,2.0
244,244,BNG(anneal),1,1,active,ARFF,759652.0,10.0,555.0,6.0,39.0,1000000.0,0.0,0.0,6.0,33.0
245,245,BNG(anneal.ORIG),2,1,active,ARFF,759652.0,9.0,555.0,6.0,39.0,1000000.0,0.0,0.0,6.0,33.0
246,246,BNG(labor),2,1,active,ARFF,647000.0,3.0,353000.0,2.0,17.0,1000000.0,0.0,0.0,8.0,9.0
247,247,BNG(letter),2,1,active,ARFF,40765.0,26.0,36811.0,26.0,17.0,1000000.0,0.0,0.0,16.0,1.0
248,248,BNG(autos),1,1,active,ARFF,323554.0,22.0,2441.0,7.0,26.0,1000000.0,0.0,0.0,15.0,11.0
249,249,BNG(lymph),1,1,active,ARFF,543495.0,8.0,16508.0,4.0,19.0,1000000.0,0.0,0.0,3.0,16.0
250,250,BNG(mfeat-fourier),1,1,active,ARFF,100515.0,10.0,99530.0,10.0,77.0,1000000.0,0.0,0.0,76.0,1.0
251,251,BNG(breast-w),1,1,active,ARFF,25820.0,2.0,13546.0,2.0,10.0,39366.0,0.0,0.0,9.0,1.0
252,252,BNG(mfeat-karhunen),1,1,active,ARFF,100410.0,10.0,99545.0,10.0,65.0,1000000.0,0.0,0.0,64.0,1.0
253,253,BNG(bridges_version1),1,1,active,ARFF,423139.0,108.0,95207.0,6.0,13.0,1000000.0,0.0,0.0,3.0,10.0
254,254,BNG(mfeat-zernike),1,1,active,ARFF,100289.0,10.0,99797.0,10.0,48.0,1000000.0,0.0,0.0,47.0,1.0
255,255,BNG(cmc),1,1,active,ARFF,23567.0,4.0,12447.0,3.0,10.0,55296.0,0.0,0.0,2.0,8.0
256,256,BNG(colic.ORIG),1,1,active,ARFF,637594.0,338.0,362406.0,2.0,28.0,1000000.0,0.0,0.0,7.0,21.0
257,257,BNG(colic),1,1,active,ARFF,630221.0,6.0,369779.0,2.0,23.0,1000000.0,0.0,0.0,7.0,16.0
258,258,BNG(credit-a),1,1,active,ARFF,554008.0,14.0,445992.0,2.0,16.0,1000000.0,0.0,0.0,6.0,10.0
259,259,BNG(page-blocks),1,1,active,ARFF,265174.0,5.0,1486.0,5.0,11.0,295245.0,0.0,0.0,10.0,1.0
260,260,BNG(credit-g),1,1,active,ARFF,699774.0,11.0,300226.0,2.0,21.0,1000000.0,0.0,0.0,7.0,14.0
261,261,BNG(pendigits),1,1,active,ARFF,104513.0,10.0,95594.0,10.0,17.0,1000000.0,0.0,0.0,16.0,1.0
262,262,BNG(cylinder-bands),1,1,active,ARFF,578062.0,429.0,421938.0,2.0,40.0,1000000.0,0.0,0.0,18.0,22.0
263,263,BNG(dermatology),1,1,active,ARFF,304589.0,6.0,55693.0,6.0,35.0,1000000.0,0.0,0.0,1.0,34.0
264,264,BNG(sonar),1,1,active,ARFF,532538.0,2.0,467462.0,2.0,61.0,1000000.0,0.0,0.0,60.0,1.0
265,265,BNG(glass),1,1,active,ARFF,48774.0,7.0,313.0,7.0,10.0,137781.0,0.0,0.0,9.0,1.0
266,266,BNG(heart-c),1,1,active,ARFF,541436.0,5.0,1609.0,5.0,14.0,1000000.0,0.0,0.0,6.0,8.0
267,267,BNG(heart-statlog),1,1,active,ARFF,555946.0,2.0,444054.0,2.0,14.0,1000000.0,0.0,0.0,13.0,1.0
268,268,BNG(vehicle),1,1,active,ARFF,257546.0,4.0,235618.0,4.0,19.0,1000000.0,0.0,0.0,18.0,1.0
269,269,BNG(hepatitis),1,1,active,ARFF,792183.0,2.0,207817.0,2.0,20.0,1000000.0,0.0,0.0,6.0,14.0
271,271,BNG(waveform-5000),1,1,active,ARFF,338402.0,3.0,330606.0,3.0,41.0,1000000.0,0.0,0.0,40.0,1.0
272,272,BNG(zoo),1,1,active,ARFF,396504.0,100.0,42792.0,7.0,18.0,1000000.0,0.0,0.0,1.0,17.0
273,273,IMDB.drama,1,1,active,Sparse_ARFF,77140.0,2.0,43779.0,2.0,1002.0,120919.0,0.0,0.0,1001.0,1.0
274,274,20_newsgroups.drift,1,1,active,ARFF,379943.0,2.0,19997.0,2.0,1002.0,399940.0,0.0,0.0,0.0,1001.0
275,275,meta_all.arff,1,1,active,ARFF,42.0,6.0,2.0,6.0,63.0,71.0,0.0,0.0,62.0,1.0
276,276,meta_batchincremental.arff,1,1,active,ARFF,50.0,4.0,3.0,4.0,63.0,74.0,0.0,0.0,62.0,1.0
277,277,meta_ensembles.arff,1,1,active,ARFF,45.0,4.0,5.0,4.0,63.0,74.0,0.0,0.0,62.0,1.0
278,278,meta_instanceincremental.arff,1,1,active,ARFF,54.0,4.0,3.0,4.0,63.0,74.0,0.0,0.0,62.0,1.0
279,279,meta_stream_intervals.arff,1,1,active,ARFF,23021.0,11.0,73.0,11.0,75.0,45164.0,0.0,0.0,74.0,1.0
285,285,flags,1,2,active,ARFF,60.0,14.0,4.0,8.0,30.0,194.0,0.0,0.0,2.0,28.0
287,287,wine_quality,1,94,active,ARFF,,,,0.0,12.0,6497.0,0.0,0.0,12.0,0.0
293,293,covertype,2,167,active,Sparse_ARFF,297711.0,2.0,283301.0,2.0,55.0,581012.0,0.0,0.0,54.0,1.0
294,294,satellite_image,1,94,active,ARFF,,,,0.0,37.0,6435.0,0.0,0.0,37.0,0.0
296,296,Ailerons,1,167,active,ARFF,,,,0.0,41.0,13750.0,0.0,0.0,41.0,0.0
298,298,coil2000,1,94,active,ARFF,,,,0.0,86.0,9822.0,0.0,0.0,86.0,0.0
299,299,libras_move,1,94,active,ARFF,,,,0.0,91.0,360.0,0.0,0.0,91.0,0.0
300,300,isolet,1,94,active,ARFF,300.0,26.0,298.0,26.0,618.0,7797.0,0.0,0.0,617.0,1.0
301,301,ozone_level,1,94,active,ARFF,,1688.0,,0.0,73.0,2536.0,0.0,0.0,1.0,72.0
307,307,vowel,2,2,active,ARFF,90.0,15.0,90.0,11.0,13.0,990.0,0.0,0.0,10.0,3.0
308,308,puma32H,1,2,active,ARFF,,,,0.0,33.0,8192.0,0.0,0.0,33.0,0.0
310,310,mammography,1,94,active,ARFF,10923.0,2.0,260.0,2.0,7.0,11183.0,0.0,0.0,6.0,1.0
311,311,oil_spill,1,94,active,ARFF,896.0,2.0,41.0,2.0,50.0,937.0,0.0,0.0,49.0,1.0
312,312,scene,1,94,active,ARFF,1976.0,2.0,431.0,2.0,300.0,2407.0,0.0,0.0,294.0,6.0
313,313,spectrometer,1,94,active,ARFF,55.0,531.0,1.0,48.0,103.0,531.0,0.0,0.0,100.0,3.0
