sex,age,age_cat,race,juv_fel_count,juv_misd_count,juv_other_count,priors_count,days_b_screening_arrest,c_days_from_compas,c_charge_degree,decile_score.1,score_text,v_type_of_assessment,v_decile_score,v_score_text,end,is_recid
1,28,0,2,0,0,0,1,-1.0,1.0,3,0,1,0,1,1,478,-1
1,56,1,0,0,0,0,0,-1.0,1.0,7,3,1,0,0,1,1063,-1
1,56,1,0,0,0,0,5,-1.0,1.0,3,2,1,0,2,1,158,-1
0,41,0,2,0,0,0,3,-1.0,0.0,3,6,2,0,6,2,865,-1
0,30,0,0,0,1,0,4,0.0,1.0,2,2,1,0,1,1,1178,-1
1,39,0,0,0,0,0,3,-1.0,1637.0,9,4,2,0,0,1,512,-1
1,24,2,2,0,0,0,0,-1.0,1.0,3,1,1,0,2,1,785,-1
1,27,0,3,0,0,0,1,-1.0,1.0,8,4,2,0,2,1,418,-1
1,25,0,0,0,0,1,7,507.0,47.0,3,7,0,0,8,0,1152,-1
1,55,1,2,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,582,-1
1,25,0,3,0,0,0,1,0.0,1.0,3,9,0,0,8,0,1135,-1
1,31,0,3,0,0,0,1,-50.0,50.0,2,1,1,0,1,1,681,-1
1,21,2,0,0,0,0,0,-1.0,1.0,3,4,2,0,6,2,702,-1
1,29,0,0,0,0,0,4,-76.0,76.0,3,4,2,0,5,2,532,-1
1,20,2,0,0,0,0,0,-5.0,5.0,3,2,1,0,5,2,710,-1
1,59,1,2,0,0,0,4,-49.0,50.0,2,3,1,0,1,1,704,-1
1,44,0,2,0,0,0,7,-1.0,1.0,6,5,2,0,2,1,898,-1
1,38,0,0,0,0,0,0,-1.0,1.0,3,7,0,0,5,2,1160,-1
1,26,0,0,0,0,0,1,-98.0,99.0,3,2,1,0,2,1,252,-1
1,21,2,0,0,0,1,1,-1.0,1.0,3,7,0,0,6,2,923,-1
0,25,0,0,0,0,0,0,-1.0,1.0,3,6,2,0,4,2,953,-1
1,38,0,0,0,0,0,3,0.0,1.0,3,4,2,0,5,2,1084,-1
1,22,2,0,0,0,0,1,-1.0,1.0,3,6,2,0,8,0,344,-1
1,30,0,0,0,0,0,10,92.0,198.0,4,4,2,0,6,2,92,-1
0,64,1,3,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,593,-1
0,31,0,2,0,0,0,3,-1.0,1.0,3,4,2,0,1,1,707,-1
1,22,2,0,0,0,0,0,0.0,0.0,3,6,2,0,5,2,1084,-1
1,55,1,2,0,0,0,2,-1.0,1.0,2,0,1,0,0,1,1095,-1
0,24,2,2,0,0,0,1,-1.0,1.0,2,4,2,0,3,1,955,-1
1,58,1,0,0,0,0,1,-84.0,84.0,3,7,0,0,3,1,528,-1
1,20,2,3,0,0,0,0,123.0,75.0,9,2,1,0,4,2,278,-1
1,56,1,0,0,0,0,8,-106.0,106.0,2,2,1,0,2,1,864,-1
1,23,2,3,0,0,0,1,87.0,165.0,3,9,0,0,8,0,1008,-1
0,56,1,4,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,635,-1
1,27,0,0,0,0,0,5,20.0,78.0,3,9,0,0,9,0,20,-1
1,26,0,2,0,0,0,2,-3.0,3.0,3,1,1,0,2,1,1096,-1
1,44,0,0,0,0,0,24,53.0,31.0,7,6,2,0,2,1,1086,-1
0,51,1,3,0,0,0,0,-3.0,3.0,7,0,1,0,0,1,739,-1
0,37,0,3,0,0,0,1,-1.0,1.0,3,2,1,0,0,1,788,-1
1,24,2,2,0,0,0,0,-1.0,2.0,7,1,1,0,3,1,532,-1
1,48,1,3,0,0,0,1,-8.0,9.0,7,0,1,0,0,1,1131,-1
1,24,2,0,0,0,0,0,-1.0,1.0,3,4,2,0,4,2,939,-1
1,33,0,0,0,0,0,0,-1.0,1.0,3,0,1,0,1,1,583,-1
1,27,0,2,0,0,0,0,-1.0,1.0,8,1,1,0,2,1,693,-1
1,25,0,0,0,0,0,2,0.0,1.0,3,8,0,0,8,0,1128,-1
1,30,0,2,0,0,0,9,17.0,124.0,1,7,0,0,5,2,627,-1
1,54,1,2,0,0,0,4,-1.0,1.0,7,1,1,0,0,1,1145,-1
1,42,0,2,0,0,0,0,0.0,1.0,8,0,1,0,0,1,901,-1
1,39,0,0,0,4,0,10,-1.0,2994.0,8,8,0,0,2,1,238,-1
1,26,0,5,0,0,0,0,-1.0,1.0,7,1,1,0,2,1,1071,-1
0,28,0,2,0,0,0,7,606.0,244.0,3,8,0,0,5,2,765,-1
1,63,1,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,1041,-1
0,24,2,0,0,0,0,1,-1.0,1.0,2,8,0,0,4,2,1150,-1
1,36,0,3,0,0,0,11,-79.0,42.0,6,6,2,0,5,2,1026,-1
1,62,1,0,0,0,0,0,0.0,1.0,7,0,1,0,0,1,723,-1
1,57,1,0,0,0,0,3,-1.0,1.0,2,0,1,0,1,1,646,-1
1,19,2,2,0,0,2,1,-1.0,1.0,3,3,1,0,6,2,482,-1
1,48,1,0,0,0,0,14,-45.0,45.0,3,9,0,0,3,1,641,-1
1,27,0,5,0,0,0,6,0.0,1.0,3,6,2,0,7,0,1075,-1
1,40,0,2,0,0,0,9,0.0,0.0,3,2,1,0,3,1,648,-1
0,23,2,2,0,0,0,1,0.0,0.0,7,4,2,0,4,2,609,-1
1,23,2,3,0,0,0,6,-1.0,1.0,7,7,0,0,4,2,1091,-1
1,28,0,0,0,0,0,15,0.0,1.0,2,9,0,0,7,0,764,-1
1,24,2,3,0,0,0,1,0.0,0.0,3,3,1,0,3,1,1166,-1
1,22,2,2,0,1,0,2,-1.0,1.0,1,7,0,0,7,0,564,-1
1,24,2,2,1,2,0,3,-1.0,1.0,7,3,1,0,4,2,758,-1
1,22,2,3,0,0,0,0,-1.0,1.0,7,2,1,0,4,2,753,-1
1,36,0,0,0,0,0,12,-13.0,13.0,3,8,0,0,9,0,246,-1
1,24,2,2,0,0,0,0,0.0,0.0,3,1,1,0,2,1,638,-1
0,45,1,2,0,0,0,1,0.0,0.0,3,5,2,0,3,1,813,-1
0,54,1,2,0,0,0,2,-3.0,4.0,2,1,1,0,0,1,830,-1
1,39,0,5,0,0,0,2,-1.0,1.0,7,1,1,0,0,1,614,-1
1,54,1,5,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,1135,-1
1,29,0,2,0,0,0,1,-1.0,1.0,7,2,1,0,1,1,845,-1
0,50,1,2,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,648,-1
1,26,0,0,0,0,0,2,-1.0,1.0,3,7,0,0,7,0,52,-1
1,27,0,0,0,0,0,1,-1.0,1.0,3,4,2,0,3,1,871,-1
0,27,0,0,0,0,0,3,-1.0,1.0,2,4,2,0,2,1,373,-1
0,35,0,0,0,0,0,2,-15.0,15.0,3,5,2,0,1,1,232,-1
1,30,0,2,0,0,0,2,-1.0,1.0,3,2,1,0,1,1,65,-1
1,45,1,0,0,0,0,5,230.0,233.0,3,0,1,0,0,1,230,-1
1,24,2,0,0,0,0,1,0.0,0.0,7,1,1,0,2,1,696,-1
1,61,1,2,0,0,0,1,-34.0,34.0,3,0,1,0,0,1,1108,-1
1,31,0,3,0,0,0,1,-75.0,75.0,8,1,1,0,0,1,981,-1
1,35,0,0,0,0,0,1,0.0,0.0,3,1,1,0,0,1,837,-1
1,45,1,3,0,0,0,1,-22.0,22.0,7,0,1,0,0,1,1148,-1
1,60,1,0,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,880,-1
1,49,1,2,0,0,0,1,-1.0,1.0,7,0,1,0,0,1,604,-1
1,26,0,2,0,0,0,0,-1.0,1.0,3,2,1,0,2,1,504,-1
1,42,0,0,0,0,0,7,-1.0,1.0,3,0,1,0,0,1,830,-1
0,34,0,0,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,480,-1
1,36,0,2,0,0,0,4,-1.0,1.0,3,2,1,0,2,1,1149,-1
1,57,1,2,0,0,0,6,47.0,96.0,3,0,1,0,0,1,603,-1
1,44,0,2,0,0,0,11,0.0,0.0,7,2,1,0,5,2,937,-1
1,48,1,2,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,471,-1
1,32,0,3,0,0,0,1,-47.0,47.0,3,0,1,0,1,1,1122,-1
1,49,1,5,0,0,0,2,-1.0,1.0,3,0,1,0,0,1,917,-1
1,47,1,3,0,0,0,2,-1.0,1.0,3,0,1,0,0,1,665,-1
1,34,0,4,1,0,0,9,0.0,0.0,3,5,2,0,2,1,632,-1
1,27,0,2,0,0,0,1,-1.0,1.0,3,1,1,0,2,1,647,-1
1,33,0,0,0,0,0,1,-1.0,2337.0,7,1,1,0,0,1,509,-1
1,37,0,0,0,0,0,8,0.0,1.0,3,5,2,0,3,1,1126,-1
1,29,0,0,0,0,0,7,-1.0,1.0,3,8,0,0,5,2,1072,-1
1,50,1,2,0,0,0,1,693.0,137.0,2,1,1,0,3,1,1141,-1
1,24,2,5,0,0,0,0,-1.0,1.0,2,1,1,0,3,1,808,-1
1,28,0,2,0,0,0,5,-32.0,32.0,3,4,2,0,1,1,732,-1
1,46,1,2,0,0,0,0,0.0,0.0,3,0,1,0,0,1,635,-1
1,48,1,3,0,0,0,2,-1.0,1.0,3,5,2,0,7,0,668,-1
1,36,0,0,0,0,0,9,0.0,1.0,8,7,0,0,1,1,415,-1
1,37,0,0,0,0,0,8,0.0,1.0,3,5,2,0,3,1,194,-1
1,31,0,0,0,0,0,0,-1.0,1.0,3,4,2,0,1,1,945,-1
1,34,0,0,0,0,0,22,-29.0,29.0,3,8,0,0,3,1,1064,-1
0,20,2,0,0,0,0,1,38.0,1.0,8,3,1,0,5,2,599,-1
0,29,0,2,0,0,0,0,-1.0,1.0,7,1,1,0,1,1,887,-1
1,42,0,0,0,0,0,2,-1.0,1.0,3,4,2,0,3,1,864,-1
1,23,2,0,0,0,0,1,0.0,1.0,8,3,1,0,5,2,1149,-1
1,49,1,0,0,0,0,2,-1.0,1.0,3,0,1,0,0,1,809,-1
1,48,1,2,0,0,0,1,0.0,0.0,3,1,1,0,0,1,1039,-1
1,53,1,3,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,1152,-1
0,23,2,0,0,0,0,1,-1.0,1.0,3,8,0,0,7,0,1079,-1
1,43,0,3,0,0,0,1,305.0,1.0,3,2,1,0,1,1,538,-1
1,27,0,0,0,0,0,5,-1.0,1.0,3,7,0,0,5,2,491,-1
1,45,1,0,0,0,0,0,-1.0,1.0,3,6,2,0,2,1,298,-1
0,30,0,0,0,0,0,2,-1.0,1.0,3,6,2,0,3,1,1054,-1
1,55,1,0,0,0,0,16,-1.0,1.0,3,7,0,0,4,2,594,-1
1,22,2,2,0,0,4,3,-1.0,1.0,8,2,1,0,4,2,476,-1
0,25,0,0,0,0,0,2,-1.0,1.0,7,3,1,0,3,1,744,-1
1,29,0,2,0,0,0,2,-32.0,32.0,3,5,2,0,7,0,32,-1
1,21,2,0,1,0,0,3,-1.0,1.0,3,8,0,0,6,2,272,-1
1,26,0,0,0,0,0,1,0.0,0.0,9,4,2,0,3,1,1172,-1
0,24,2,0,0,0,0,1,-13.0,13.0,7,5,2,0,3,1,623,-1
1,46,1,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,747,-1
1,37,0,2,0,0,0,2,-1.0,1.0,3,5,2,0,4,2,673,-1
1,23,2,0,0,0,0,1,0.0,1.0,3,4,2,0,6,2,302,-1
1,22,2,3,0,0,0,2,102.0,257.0,3,2,1,0,5,2,1087,-1
1,38,0,2,0,0,0,5,-1.0,1.0,3,5,2,0,1,1,539,-1
1,25,0,3,0,0,0,1,-1.0,1.0,3,6,2,0,2,1,723,-1
0,23,2,0,0,0,0,1,-1.0,1.0,3,3,1,0,3,1,830,-1
1,45,1,2,0,0,0,10,-1.0,1.0,3,4,2,0,6,2,759,-1
1,56,1,0,0,0,0,1,0.0,1.0,7,0,1,0,1,1,1184,-1
1,21,2,0,0,0,0,0,-1.0,1.0,8,6,2,0,7,0,498,-1
1,32,0,0,0,0,0,4,-1.0,1.0,3,4,2,0,2,1,828,-1
1,20,2,0,0,0,0,0,0.0,0.0,3,7,0,0,5,2,356,-1
1,36,0,0,0,0,0,4,0.0,1.0,2,4,2,0,2,1,1055,-1
1,37,0,0,0,0,0,3,-1.0,1.0,7,1,1,0,1,1,214,-1
1,31,0,3,0,0,0,0,0.0,0.0,7,0,1,0,0,1,530,-1
1,27,0,2,0,0,0,0,-1.0,1.0,3,1,1,0,2,1,971,-1
1,50,1,5,0,0,0,4,-1.0,1.0,7,0,1,0,0,1,693,-1
1,52,1,3,0,0,0,2,-1.0,1.0,8,0,1,0,0,1,1123,-1
0,24,2,0,0,0,0,3,0.0,0.0,3,4,2,0,3,1,67,-1
1,43,0,0,0,0,0,5,-1.0,1.0,2,8,0,0,4,2,1094,-1
1,37,0,0,0,0,0,6,0.0,0.0,3,2,1,0,4,2,1104,-1
1,56,1,0,0,0,0,4,-1.0,1.0,3,0,1,0,0,1,1142,-1
1,55,1,0,0,0,0,4,-1.0,1480.0,9,7,0,0,2,1,552,-1
0,21,2,2,0,0,0,2,34.0,62.0,7,4,2,0,5,2,324,-1
1,27,0,2,0,0,0,1,506.0,409.0,3,9,0,0,9,0,506,-1
1,50,1,0,0,0,0,7,-1.0,1.0,3,2,1,0,0,1,312,-1
1,46,1,0,0,0,0,2,-1.0,1.0,3,8,0,0,3,1,1130,-1
1,23,2,0,0,0,0,0,-1.0,1.0,2,4,2,0,5,2,367,-1
1,28,0,0,1,2,0,8,-1.0,1.0,7,9,0,0,9,0,190,-1
1,35,0,0,2,0,0,4,-1.0,1.0,3,7,0,0,3,1,432,-1
1,55,1,2,0,0,0,0,0.0,0.0,7,0,1,0,0,1,1127,-1
1,41,0,0,0,0,0,4,-1.0,1.0,3,4,2,0,1,1,895,-1
0,30,0,5,0,0,0,1,-1.0,1.0,3,1,1,0,1,1,744,-1
1,21,2,0,0,0,0,0,-1.0,1.0,3,6,2,0,5,2,789,-1
1,54,1,0,0,0,0,6,-1.0,864.0,1,5,2,0,4,2,110,-1
1,43,0,2,0,0,0,2,-1.0,1.0,3,0,1,0,0,1,930,-1
0,26,0,2,0,0,0,2,0.0,0.0,7,4,2,0,3,1,1074,-1
1,56,1,0,0,0,0,28,-69.0,69.0,3,6,2,0,3,1,1019,-1
1,37,0,3,0,0,0,4,-1.0,1.0,7,3,1,0,2,1,965,-1
1,51,1,0,0,0,0,1,-162.0,161.0,1,0,1,0,0,1,569,-1
1,28,0,0,0,0,0,4,-1.0,1.0,7,6,2,0,3,1,692,-1
1,33,0,5,0,0,0,3,0.0,0.0,7,1,1,0,2,1,670,-1
1,39,0,0,0,2,0,18,-85.0,87.0,7,8,0,0,3,1,621,-1
0,31,0,2,0,0,0,1,-23.0,23.0,3,4,2,0,1,1,526,-1
1,52,1,2,0,0,0,1,0.0,1.0,7,0,1,0,0,1,1095,-1
1,26,0,0,0,0,0,7,-19.0,19.0,2,6,2,0,5,2,247,-1
1,34,0,0,0,0,0,14,-1.0,1.0,3,7,0,0,3,1,1045,-1
0,24,2,2,0,0,0,0,-1.0,1.0,3,7,0,0,4,2,905,-1
1,47,1,0,0,0,0,15,-1.0,1.0,3,7,0,0,3,1,571,-1
1,27,0,2,0,0,0,5,-1.0,1.0,3,7,0,0,7,0,476,-1
1,38,0,0,0,0,2,5,-1.0,1.0,3,2,1,0,3,1,501,-1
1,56,1,0,0,0,0,3,-28.0,28.0,8,0,1,0,0,1,778,-1
1,54,1,3,0,0,0,5,149.0,650.0,3,4,2,0,0,1,1012,-1
1,32,0,2,0,0,0,2,-1.0,2.0,8,0,1,0,1,1,515,-1
0,34,0,0,0,0,0,0,-1.0,1.0,3,1,1,0,0,1,690,-1
1,32,0,2,0,0,0,0,0.0,1.0,3,2,1,0,1,1,1075,-1
0,39,0,2,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,645,-1
1,21,2,2,0,0,0,0,-1.0,1.0,3,2,1,0,4,2,701,-1
1,61,1,2,0,0,0,0,0.0,0.0,8,0,1,0,0,1,1036,-1
1,44,0,2,0,0,0,4,-1.0,1.0,3,1,1,0,2,1,335,-1
0,30,0,0,0,0,0,4,-5.0,5.0,2,2,1,0,2,1,281,-1
1,46,1,3,0,0,0,13,-1.0,1.0,3,2,1,0,1,1,1184,-1
0,34,0,0,0,0,0,1,-1.0,1.0,7,0,1,0,0,1,1138,-1
0,31,0,2,0,0,0,4,-1.0,1.0,7,4,2,0,3,1,508,-1
1,23,2,3,0,0,2,3,-37.0,37.0,3,4,2,0,2,1,519,-1
0,46,1,2,0,0,0,0,0.0,0.0,3,0,1,0,0,1,1145,-1
1,60,1,2,0,0,0,0,-1.0,1.0,8,0,1,0,0,1,1065,-1
1,69,1,3,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,732,-1
0,25,0,0,0,0,0,5,-1.0,1.0,3,6,2,0,2,1,845,-1
1,55,1,3,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,736,-1
1,34,0,0,0,0,0,8,37.0,200.0,2,9,0,0,7,0,311,-1
1,38,0,0,0,0,0,7,-1.0,1.0,7,5,2,0,7,0,1100,-1
1,48,1,2,0,0,0,2,-1.0,1.0,3,0,1,0,0,1,682,-1
1,43,0,3,0,0,0,4,-1.0,1.0,3,0,1,0,0,1,739,-1
1,53,1,3,0,0,0,3,-1.0,1.0,1,6,2,0,6,2,149,-1
1,43,0,3,0,0,0,1,-1.0,1.0,3,1,1,0,0,1,583,-1
1,21,2,5,0,0,0,0,-1.0,1.0,3,3,1,0,5,2,1065,-1
1,36,0,5,0,0,0,0,-1.0,1.0,3,1,1,0,2,1,498,-1
0,24,2,2,0,0,0,0,0.0,1.0,3,4,2,0,4,2,1071,-1
1,48,1,5,0,0,0,1,-21.0,21.0,3,0,1,0,0,1,933,-1
1,21,2,0,0,0,0,1,-1.0,1.0,3,7,0,0,7,0,748,-1
1,48,1,0,0,0,0,0,-1.0,1.0,3,6,2,0,5,2,657,-1
1,44,0,2,3,0,0,16,-1.0,1.0,7,6,2,0,2,1,1161,-1
1,26,0,2,0,0,0,0,-1.0,1.0,7,1,1,0,2,1,1048,-1
1,25,0,2,0,0,0,4,-1.0,1.0,3,5,2,0,2,1,830,-1
1,41,0,0,0,0,0,0,-4.0,4.0,7,5,2,0,1,1,166,-1
0,24,2,0,0,0,0,0,-1.0,1.0,7,1,1,0,2,1,805,-1
1,29,0,4,0,0,0,1,37.0,187.0,3,1,1,0,1,1,878,-1
1,27,0,2,0,0,0,0,-1.0,1.0,7,4,2,0,2,1,680,-1
1,22,2,0,0,0,0,2,-1.0,1.0,3,9,0,0,6,2,334,-1
1,21,2,0,0,0,0,1,-1.0,2.0,7,4,2,0,6,2,760,-1
1,21,2,3,0,0,0,0,-1.0,1.0,3,4,2,0,4,2,936,-1
1,53,1,0,0,0,0,2,-1.0,1.0,7,0,1,0,0,1,635,-1
1,26,0,0,0,2,0,13,-69.0,41.0,3,9,0,0,9,0,826,-1
0,22,2,0,0,0,0,0,-1.0,1.0,7,5,2,0,5,2,659,-1
0,44,0,2,0,0,0,1,-6.0,6.0,7,4,2,0,1,1,1088,-1
1,25,0,2,0,0,0,0,-1.0,1.0,3,5,2,0,4,2,572,-1
1,54,1,0,0,0,0,1,-1.0,1.0,3,2,1,0,0,1,657,-1
0,51,1,0,0,0,0,7,-1.0,1.0,3,1,1,0,1,1,1142,-1
1,58,1,3,0,0,0,0,-1.0,1.0,3,1,1,0,0,1,302,-1
1,29,0,5,0,0,0,0,-1.0,1.0,2,1,1,0,2,1,871,-1
1,24,2,2,0,0,0,0,-2.0,2.0,3,3,1,0,3,1,1057,-1
1,30,0,5,0,0,0,2,-1.0,1.0,3,1,1,0,1,1,655,-1
0,27,0,0,0,0,0,2,-40.0,40.0,2,5,2,0,3,1,995,-1
1,21,2,0,0,0,0,1,-22.0,22.0,6,2,1,0,4,2,932,-1
1,26,0,0,0,0,0,0,-1.0,1.0,9,2,1,0,2,1,1133,-1
1,21,2,0,0,0,0,0,-1.0,1.0,3,4,2,0,6,2,276,-1
0,28,0,0,0,0,0,0,-1.0,1.0,7,1,1,0,1,1,726,-1
1,27,0,0,0,0,0,1,-1.0,1.0,7,4,2,0,2,1,744,-1
1,28,0,2,0,0,0,3,85.0,244.0,3,2,1,0,2,1,689,-1
1,50,1,2,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,30,-1
1,30,0,3,0,0,0,3,-6.0,6.0,8,3,1,0,4,2,813,-1
1,42,0,2,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,1158,-1
1,27,0,0,0,0,2,20,-1.0,1.0,3,9,0,0,8,0,476,-1
1,29,0,2,0,0,0,0,-6.0,6.0,3,3,1,0,1,1,556,-1
0,26,0,2,0,0,0,1,-1.0,1.0,7,5,2,0,4,2,936,-1
1,29,0,2,0,0,0,3,-1.0,1.0,8,2,1,0,3,1,601,-1
0,21,2,0,0,0,0,2,-1.0,1.0,2,7,0,0,7,0,951,-1
1,29,0,2,0,0,0,11,135.0,636.0,3,9,0,0,9,0,135,-1
1,48,1,0,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,697,-1
1,28,0,0,0,0,0,1,-1.0,1.0,3,6,2,0,5,2,186,-1
1,32,0,0,0,0,0,0,-1.0,1.0,7,0,1,0,0,1,670,-1
1,43,0,0,1,0,0,20,0.0,0.0,3,7,0,0,3,1,1158,-1
1,58,1,2,0,0,0,2,343.0,316.0,3,7,0,0,5,2,611,-1
1,24,2,0,0,0,0,1,216.0,298.0,3,3,1,0,3,1,216,-1
1,60,1,0,0,0,0,0,-1.0,1.0,3,5,2,0,0,1,495,-1
1,23,2,0,0,0,0,0,0.0,1.0,3,2,1,0,2,1,1077,-1
1,58,1,2,0,0,0,1,-42.0,43.0,7,0,1,0,0,1,947,-1
1,26,0,2,0,0,0,4,-1.0,1.0,2,4,2,0,2,1,498,-1
0,31,0,2,0,0,0,1,-1.0,1.0,7,2,1,0,1,1,593,-1
1,27,0,0,0,0,1,1,-95.0,1227.0,2,9,0,0,6,2,213,-1
1,52,1,3,0,0,0,10,0.0,1.0,3,5,2,0,6,2,564,-1
1,35,0,0,0,0,0,27,-103.0,1.0,3,9,0,0,5,2,822,-1
1,52,1,3,0,0,0,4,-112.0,112.0,6,8,0,0,0,1,554,-1
0,49,1,2,0,0,0,2,-1.0,1.0,3,5,2,0,0,1,754,-1
1,42,0,0,0,0,0,0,-1.0,1.0,3,0,1,0,0,1,1044,-1
1,50,1,2,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,657,-1
1,23,2,3,0,0,0,2,-1.0,1.0,3,3,1,0,3,1,56,-1
1,30,0,2,0,0,0,1,-40.0,40.0,3,1,1,0,1,1,511,-1
1,25,0,0,0,0,0,3,-15.0,16.0,3,6,2,0,3,1,647,-1
1,37,0,2,0,0,0,1,-1.0,1.0,3,0,1,0,0,1,531,-1
1,25,0,2,0,0,0,1,-1.0,1.0,3,2,1,0,2,1,534,-1
1,67,1,0,0,0,0,1,19.0,259.0,1,0,1,0,0,1,19,-1
1,36,0,0,0,0,0,0,0.0,1.0,3,0,1,0,0,1,1070,-1
0,28,0,0,0,0,0,3,-1.0,1.0,3,5,2,0,1,1,496,-1
1,48,1,3,0,0,0,1,0.0,1.0,7,0,1,0,0,1,1128,-1
0,27,0,2,0,0,0,6,-1.0,1.0,3,9,0,0,8,0,574,-1
1,51,1,2,0,0,0,2,-23.0,23.0,3,1,1,0,0,1,764,-1
0,26,0,2,0,0,0,0,-1.0,1.0,3,3,1,0,5,2,505,-1
1,41,0,3,0,0,0,0,-2.0,2.0,3,2,1,0,0,1,991,-1
0,38,0,0,0,0,0,2,-1.0,4971.0,8,6,2,0,1,1,320,-1
1,23,2,2,0,0,0,1,-1.0,1.0,8,3,1,0,5,2,1104,-1
1,49,1,0,0,0,0,0,-5.0,5.0,1,0,1,0,0,1,697,-1
1,27,0,2,0,0,0,3,-22.0,22.0,7,0,1,0,0,1,956,-1
