age,workclass,fnlwgt,education,education-num,marital-status,occupation,relationship,race,sex,capitalgain,capitalloss,hoursperweek,native-country,class
1,Private,245487.0,7th-8th,4,Married-civ-spouse,Transport-moving,Husband,Amer-Indian-Eskimo,Male,0,0,2,Mexico,<=50K
0,Self-emp-not-inc,176756.0,HS-grad,9,Never-married,Farming-fishing,Own-child,White,Male,0,0,1,United-States,<=50K
1,Private,186824.0,HS-grad,9,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,2,United-States,<=50K
2,Private,28887.0,11th,7,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
2,Self-emp-not-inc,292175.0,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,>50K
2,Private,193524.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
3,Private,302146.0,HS-grad,9,Separated,Other-service,Unmarried,Black,Female,0,0,0,United-States,<=50K
1,Federal-gov,76845.0,9th,5,Married-civ-spouse,Farming-fishing,Husband,Black,Male,0,0,2,United-States,<=50K
2,Private,117037.0,11th,7,Married-civ-spouse,Transport-moving,Husband,White,Male,0,3,2,United-States,<=50K
4,Private,109015.0,HS-grad,9,Divorced,Tech-support,Unmarried,White,Female,0,0,2,United-States,<=50K
4,Local-gov,216851.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
0,Private,168294.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,2,United-States,<=50K
3,,180211.0,Some-college,10,Married-civ-spouse,,Husband,Asian-Pac-Islander,Male,0,0,3,South,>50K
2,Private,367260.0,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,4,United-States,<=50K
3,Private,193366.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
0,Local-gov,190709.0,Assoc-acdm,12,Never-married,Protective-serv,Not-in-family,White,Male,0,0,3,United-States,<=50K
0,Private,266015.0,Some-college,10,Never-married,Sales,Own-child,Black,Male,0,0,2,United-States,<=50K
2,Private,386940.0,Bachelors,13,Divorced,Exec-managerial,Own-child,White,Male,0,1,2,United-States,<=50K
1,Federal-gov,59951.0,Some-college,10,Married-civ-spouse,Adm-clerical,Own-child,White,Male,0,0,2,United-States,<=50K
0,State-gov,311512.0,Some-college,10,Married-civ-spouse,Other-service,Husband,Black,Male,0,0,0,United-States,<=50K
3,Private,242406.0,11th,7,Never-married,Machine-op-inspct,Unmarried,White,Male,0,0,2,Puerto-Rico,<=50K
0,Private,197200.0,Some-college,10,Never-married,Machine-op-inspct,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,544091.0,HS-grad,9,Married-AF-spouse,Adm-clerical,Wife,White,Female,0,0,1,United-States,<=50K
1,Private,84154.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,,>50K
3,Self-emp-not-inc,265477.0,Assoc-acdm,12,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,507875.0,9th,5,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
3,Self-emp-not-inc,88506.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,172987.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,3,United-States,<=50K
3,Private,94638.0,HS-grad,9,Separated,Adm-clerical,Unmarried,White,Female,0,0,2,United-States,<=50K
0,Private,289980.0,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,1,United-States,<=50K
4,Federal-gov,337895.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,Black,Male,0,0,2,United-States,>50K
3,Private,144361.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,128354.0,Masters,14,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,United-States,<=50K
2,State-gov,101603.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,271466.0,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,32275.0,Some-college,10,Married-civ-spouse,Exec-managerial,Wife,Other,Female,0,0,2,United-States,<=50K
0,Private,226956.0,HS-grad,9,Never-married,Other-service,Own-child,White,Female,0,0,1,,<=50K
3,Private,51835.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,3,3,Honduras,>50K
3,Federal-gov,251585.0,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,3,United-States,>50K
3,Self-emp-inc,109832.0,HS-grad,9,Divorced,Exec-managerial,Not-in-family,White,Male,0,0,3,United-States,<=50K
2,Private,237993.0,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,>50K
3,Private,216666.0,5th-6th,3,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,<=50K
1,Private,56352.0,Assoc-voc,11,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Puerto-Rico,<=50K
2,Private,147372.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,188146.0,HS-grad,9,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,2,0,2,United-States,<=50K
1,Private,59496.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,1,0,2,United-States,<=50K
1,,293936.0,7th-8th,4,Married-spouse-absent,,Not-in-family,White,Male,0,0,2,,<=50K
3,Private,149640.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,116632.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
1,Private,105598.0,Some-college,10,Divorced,Tech-support,Not-in-family,White,Male,0,0,3,United-States,<=50K
2,Private,155537.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,183175.0,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,Private,169846.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,2,United-States,>50K
3,Self-emp-inc,191681.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
0,,200681.0,Some-college,10,Never-married,,Own-child,White,Male,0,0,2,United-States,<=50K
0,Private,101509.0,Some-college,10,Never-married,Prof-specialty,Own-child,White,Male,0,0,1,United-States,<=50K
1,Private,309974.0,Bachelors,13,Separated,Sales,Own-child,Black,Female,0,0,2,United-States,<=50K
1,Self-emp-not-inc,162298.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,4,United-States,>50K
0,Private,211678.0,Some-college,10,Never-married,Machine-op-inspct,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Private,124744.0,Some-college,10,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,0,0,0,United-States,<=50K
1,Private,213921.0,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,2,Mexico,<=50K
2,Private,32214.0,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,<=50K
4,,212759.0,10th,6,Married-civ-spouse,,Husband,White,Male,0,0,0,United-States,<=50K
0,Private,309634.0,11th,7,Never-married,Other-service,Own-child,White,Female,0,0,1,United-States,<=50K
1,Local-gov,125927.0,7th-8th,4,Married-civ-spouse,Farming-fishing,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,446839.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,1,United-States,<=50K
3,Private,276515.0,Bachelors,13,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,Cuba,<=50K
3,Private,51618.0,HS-grad,9,Married-civ-spouse,Other-service,Wife,White,Female,0,0,2,United-States,<=50K
4,Private,159937.0,HS-grad,9,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
2,Private,343591.0,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Female,4,0,2,United-States,>50K
3,Private,346253.0,HS-grad,9,Divorced,Sales,Own-child,White,Female,0,0,1,United-States,<=50K
3,Local-gov,268234.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
1,Private,202051.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,54334.0,9th,5,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,410867.0,Doctorate,16,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,>50K
4,Private,249977.0,Assoc-voc,11,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,286730.0,Some-college,10,Divorced,Craft-repair,Unmarried,White,Female,0,0,2,United-States,<=50K
1,Private,212563.0,Some-college,10,Divorced,Machine-op-inspct,Unmarried,Black,Female,0,0,1,United-States,<=50K
1,Private,117747.0,HS-grad,9,Married-civ-spouse,Sales,Wife,Asian-Pac-Islander,Female,0,1,1,,<=50K
1,Local-gov,226296.0,Bachelors,13,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,>50K
1,Local-gov,115585.0,Some-college,10,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,3,United-States,<=50K
3,Self-emp-not-inc,191277.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,3,3,United-States,>50K
2,Private,202683.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,>50K
3,Private,171095.0,Assoc-acdm,12,Divorced,Exec-managerial,Unmarried,White,Female,0,0,2,England,<=50K
1,Federal-gov,249409.0,HS-grad,9,Never-married,Other-service,Own-child,Black,Male,0,0,2,United-States,<=50K
4,Private,124191.0,Masters,14,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,2,United-States,>50K
2,Private,198282.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,4,0,3,United-States,>50K
3,Self-emp-not-inc,149116.0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,0,3,United-States,<=50K
0,Private,188300.0,Some-college,10,Never-married,Tech-support,Own-child,White,Female,0,0,2,United-States,<=50K
1,Private,103432.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Self-emp-inc,317660.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,3,0,2,United-States,>50K
0,,304873.0,10th,6,Never-married,,Own-child,White,Female,4,0,1,United-States,<=50K
1,Private,194901.0,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,2,United-States,<=50K
1,Local-gov,189265.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Private,124692.0,HS-grad,9,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
0,Private,432376.0,Bachelors,13,Never-married,Sales,Other-relative,White,Male,0,0,2,United-States,<=50K
2,Private,65324.0,Prof-school,15,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
4,Self-emp-not-inc,335605.0,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,2,3,Canada,>50K
1,Private,377869.0,Some-college,10,Married-civ-spouse,Sales,Wife,White,Female,2,0,1,United-States,<=50K
2,Private,102864.0,HS-grad,9,Never-married,Machine-op-inspct,Own-child,White,Female,0,0,2,United-States,<=50K
3,Private,95647.0,9th,5,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,3,United-States,<=50K
4,Self-emp-inc,303090.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
3,Local-gov,197371.0,Assoc-voc,11,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,>50K
3,Private,247552.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
0,Private,102632.0,HS-grad,9,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
0,Private,199915.0,Some-college,10,Never-married,Other-service,Own-child,White,Female,0,0,2,United-States,<=50K
2,Private,118853.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,77143.0,Bachelors,13,Never-married,Exec-managerial,Own-child,Black,Male,0,0,2,Germany,<=50K
1,State-gov,267989.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,>50K
0,Private,301606.0,Some-college,10,Never-married,Other-service,Own-child,Black,Male,0,0,1,United-States,<=50K
3,Private,287828.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Wife,White,Female,0,0,2,United-States,>50K
0,Private,111697.0,Some-college,10,Never-married,Adm-clerical,Own-child,White,Female,0,2,1,United-States,<=50K
1,Private,114937.0,Assoc-acdm,12,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
1,,129305.0,HS-grad,9,Married-civ-spouse,,Husband,White,Male,0,0,2,United-States,<=50K
2,Private,365739.0,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,69621.0,Assoc-acdm,12,Never-married,Sales,Not-in-family,White,Female,0,0,3,United-States,<=50K
0,Private,43323.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Female,0,2,2,United-States,<=50K
2,Self-emp-not-inc,120985.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,2,0,1,United-States,<=50K
2,Private,254202.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,United-States,<=50K
3,Private,146195.0,Assoc-acdm,12,Divorced,Tech-support,Not-in-family,Black,Female,0,0,2,United-States,<=50K
2,Federal-gov,125933.0,Masters,14,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,Iran,>50K
2,Self-emp-not-inc,56920.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
1,Private,163127.0,Assoc-voc,11,Married-civ-spouse,Adm-clerical,Wife,White,Female,0,0,1,United-States,<=50K
0,Private,34310.0,Some-college,10,Never-married,Sales,Own-child,White,Male,0,0,0,United-States,<=50K
3,Private,81973.0,Some-college,10,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,2,United-States,>50K
4,Self-emp-inc,66614.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,<=50K
1,Private,232782.0,Some-college,10,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
0,Private,316868.0,Some-college,10,Never-married,Other-service,Own-child,White,Male,0,0,1,Mexico,<=50K
2,Private,196584.0,Assoc-voc,11,Never-married,Prof-specialty,Not-in-family,White,Female,0,1,2,United-States,>50K
4,Private,105376.0,Some-college,10,Never-married,Tech-support,Other-relative,White,Male,0,0,2,United-States,<=50K
1,Private,185814.0,HS-grad,9,Never-married,Transport-moving,Unmarried,Black,Female,0,0,1,United-States,<=50K
0,Private,175374.0,Some-college,10,Married-civ-spouse,Other-service,Husband,White,Male,0,0,1,United-States,<=50K
2,Private,108293.0,HS-grad,9,Widowed,Other-service,Unmarried,White,Female,0,0,1,United-States,<=50K
4,Private,181232.0,11th,7,Married-civ-spouse,Craft-repair,Husband,White,Male,0,3,2,United-States,<=50K
2,,174662.0,Some-college,10,Divorced,,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,Local-gov,186009.0,Some-college,10,Divorced,Adm-clerical,Unmarried,White,Female,0,0,2,Mexico,<=50K
1,Private,198183.0,HS-grad,9,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,163003.0,Bachelors,13,Never-married,Exec-managerial,Other-relative,Asian-Pac-Islander,Female,0,0,2,Philippines,<=50K
0,Private,296158.0,HS-grad,9,Never-married,Craft-repair,Own-child,White,Male,0,0,1,United-States,<=50K
3,,252903.0,HS-grad,9,Divorced,,Not-in-family,White,Male,0,0,2,United-States,>50K
3,Private,187715.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,3,United-States,<=50K
0,Private,214542.0,Bachelors,13,Never-married,Handlers-cleaners,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Self-emp-not-inc,494223.0,Some-college,10,Separated,Sales,Unmarried,Black,Male,0,2,0,United-States,<=50K
1,Private,191535.0,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
2,Private,228456.0,Bachelors,13,Separated,Other-service,Other-relative,Black,Male,0,0,3,United-States,<=50K
4,,38317.0,1st-4th,2,Divorced,,Not-in-family,White,Female,0,0,0,United-States,<=50K
0,Private,252752.0,HS-grad,9,Never-married,Other-service,Unmarried,White,Female,0,0,2,United-States,<=50K
2,Self-emp-inc,78374.0,Masters,14,Divorced,Exec-managerial,Unmarried,Asian-Pac-Islander,Female,0,0,2,United-States,<=50K
1,Private,88419.0,HS-grad,9,Never-married,Exec-managerial,Not-in-family,Asian-Pac-Islander,Female,0,0,2,England,<=50K
2,Self-emp-not-inc,201080.0,Masters,14,Married-civ-spouse,Sales,Husband,White,Male,0,0,2,United-States,>50K
2,Private,207157.0,Some-college,10,Divorced,Other-service,Unmarried,White,Female,0,0,2,Mexico,<=50K
2,Federal-gov,235485.0,Assoc-acdm,12,Never-married,Exec-managerial,Not-in-family,White,Male,0,0,2,United-States,<=50K
3,State-gov,102628.0,Masters,14,Widowed,Protective-serv,Unmarried,White,Male,0,0,2,United-States,<=50K
0,Private,25828.0,11th,7,Never-married,Handlers-cleaners,Own-child,White,Male,0,0,0,United-States,<=50K
4,Local-gov,54826.0,Assoc-voc,11,Widowed,Prof-specialty,Not-in-family,White,Female,0,0,0,United-States,<=50K
1,Private,124953.0,HS-grad,9,Never-married,Other-service,Not-in-family,White,Male,0,3,2,United-States,<=50K
1,State-gov,175325.0,HS-grad,9,Married-civ-spouse,Protective-serv,Husband,White,Male,0,0,2,United-States,<=50K
3,Private,96062.0,Some-college,10,Married-civ-spouse,Sales,Husband,White,Male,0,3,2,United-States,>50K
1,Private,428030.0,Bachelors,13,Never-married,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
1,State-gov,149624.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,2,United-States,>50K
1,Private,253814.0,HS-grad,9,Married-spouse-absent,Sales,Unmarried,White,Female,0,0,1,United-States,<=50K
0,Private,312956.0,HS-grad,9,Never-married,Craft-repair,Own-child,Black,Male,0,0,2,United-States,<=50K
1,Private,483777.0,HS-grad,9,Never-married,Handlers-cleaners,Not-in-family,Black,Male,0,0,2,United-States,<=50K
0,Private,183930.0,HS-grad,9,Never-married,Other-service,Own-child,White,Male,0,0,0,United-States,<=50K
1,Private,37274.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,4,United-States,<=50K
2,Local-gov,181344.0,Some-college,10,Married-civ-spouse,Exec-managerial,Husband,Black,Male,0,0,2,United-States,>50K
2,Private,114580.0,Some-college,10,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,633742.0,Some-college,10,Never-married,Craft-repair,Not-in-family,Black,Male,0,0,2,United-States,<=50K
2,Private,286370.0,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,Mexico,>50K
2,Federal-gov,29054.0,Some-college,10,Married-civ-spouse,Adm-clerical,Husband,White,Male,0,0,2,United-States,>50K
1,Private,304030.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,2,United-States,<=50K
2,Self-emp-not-inc,143129.0,Bachelors,13,Divorced,Exec-managerial,Not-in-family,White,Female,0,0,2,United-States,<=50K
3,,135105.0,Bachelors,13,Divorced,,Not-in-family,White,Female,0,0,3,United-States,<=50K
1,Private,99928.0,Masters,14,Married-civ-spouse,Prof-specialty,Wife,White,Female,0,0,3,United-States,<=50K
4,State-gov,109567.0,Doctorate,16,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,0,United-States,>50K
2,Private,155222.0,Some-college,10,Divorced,Machine-op-inspct,Not-in-family,Black,Female,0,0,1,United-States,<=50K
0,Private,159567.0,Some-college,10,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,<=50K
2,Local-gov,523910.0,Bachelors,13,Married-civ-spouse,Craft-repair,Husband,Black,Male,0,0,2,United-States,<=50K
3,Private,120939.0,Some-college,10,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,130760.0,Bachelors,13,Married-civ-spouse,Tech-support,Husband,White,Male,0,0,1,United-States,<=50K
0,Private,197387.0,5th-6th,3,Married-civ-spouse,Transport-moving,Other-relative,White,Male,0,0,2,Mexico,<=50K
2,Private,99374.0,Some-college,10,Divorced,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
2,Federal-gov,56795.0,Masters,14,Never-married,Exec-managerial,Not-in-family,White,Female,4,0,3,United-States,>50K
1,Private,138992.0,Masters,14,Married-civ-spouse,Prof-specialty,Other-relative,White,Male,2,0,2,United-States,>50K
0,Self-emp-not-inc,32921.0,HS-grad,9,Never-married,Sales,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,397317.0,Masters,14,Never-married,Prof-specialty,Not-in-family,White,Female,0,2,2,United-States,<=50K
0,,170653.0,HS-grad,9,Never-married,,Own-child,White,Male,0,0,2,Italy,<=50K
3,Private,259323.0,Bachelors,13,Married-civ-spouse,Exec-managerial,Husband,White,Male,0,0,3,United-States,>50K
2,Local-gov,254817.0,Some-college,10,Never-married,Prof-specialty,Not-in-family,White,Female,0,1,2,United-States,<=50K
2,State-gov,48211.0,HS-grad,9,Divorced,Adm-clerical,Unmarried,White,Female,0,0,1,United-States,<=50K
0,Private,140164.0,11th,7,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
2,Private,128757.0,Bachelors,13,Married-civ-spouse,Other-service,Husband,Black,Male,2,0,2,United-States,>50K
1,Private,36270.0,HS-grad,9,Divorced,Craft-repair,Not-in-family,White,Male,0,0,3,United-States,<=50K
4,Self-emp-inc,210563.0,HS-grad,9,Married-civ-spouse,Sales,Wife,White,Female,4,0,1,United-States,>50K
0,Private,65368.0,11th,7,Never-married,Sales,Own-child,White,Female,0,0,0,United-States,<=50K
2,Local-gov,160943.0,HS-grad,9,Married-civ-spouse,Transport-moving,Husband,Black,Male,0,0,2,United-States,<=50K
2,Private,208358.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,White,Male,0,0,2,United-States,>50K
1,Private,153790.0,Some-college,10,Never-married,Sales,Not-in-family,Amer-Indian-Eskimo,Female,0,0,2,United-States,<=50K
4,Private,85815.0,HS-grad,9,Married-civ-spouse,Craft-repair,Husband,Asian-Pac-Islander,Male,0,0,2,United-States,<=50K
3,Self-emp-inc,125417.0,7th-8th,4,Married-civ-spouse,Machine-op-inspct,Husband,White,Male,0,0,2,United-States,>50K
2,Private,635913.0,Bachelors,13,Never-married,Exec-managerial,Not-in-family,Black,Male,0,0,3,United-States,>50K
3,Private,313321.0,Assoc-acdm,12,Divorced,Sales,Not-in-family,White,Female,0,0,2,United-States,<=50K
2,Private,182609.0,Bachelors,13,Married-civ-spouse,Sales,Husband,White,Male,0,0,3,Poland,<=50K
2,Private,109434.0,Bachelors,13,Married-civ-spouse,Prof-specialty,Husband,White,Male,0,0,3,United-States,<=50K
0,Private,255004.0,10th,6,Never-married,Craft-repair,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,197860.0,Some-college,10,Married-civ-spouse,Handlers-cleaners,Husband,White,Male,0,0,2,United-States,<=50K
4,,187656.0,1st-4th,2,Divorced,,Not-in-family,White,Male,0,0,2,United-States,<=50K
4,Private,51744.0,HS-grad,9,Never-married,Other-service,Not-in-family,Black,Male,0,4,2,United-States,<=50K
3,Private,176681.0,HS-grad,9,Married-civ-spouse,Adm-clerical,Husband,Black,Male,0,0,0,United-States,<=50K
3,Local-gov,140359.0,Preschool,1,Never-married,Machine-op-inspct,Not-in-family,White,Female,0,0,1,United-States,<=50K
0,Private,243313.0,HS-grad,9,Never-married,Sales,Own-child,White,Female,0,0,2,United-States,<=50K
4,,24215.0,10th,6,Divorced,,Not-in-family,Amer-Indian-Eskimo,Female,0,0,0,United-States,<=50K
4,Self-emp-not-inc,167687.0,HS-grad,9,Married-civ-spouse,Farming-fishing,Husband,White,Male,1,0,3,United-States,<=50K
4,Private,314209.0,Assoc-voc,11,Widowed,Adm-clerical,Not-in-family,White,Female,0,0,0,Columbia,<=50K
4,Private,176796.0,HS-grad,9,Divorced,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
1,Private,538583.0,11th,7,Separated,Transport-moving,Not-in-family,Black,Male,2,0,2,United-States,<=50K
2,Private,130408.0,HS-grad,9,Divorced,Sales,Unmarried,Black,Female,0,0,2,United-States,<=50K
0,Private,159732.0,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Male,0,0,2,United-States,<=50K
1,Private,110978.0,Some-college,10,Divorced,Craft-repair,Other-relative,Other,Female,0,0,2,United-States,<=50K
1,Private,76714.0,Prof-school,15,Never-married,Prof-specialty,Not-in-family,White,Male,0,0,3,United-States,>50K
4,State-gov,268700.0,HS-grad,9,Married-civ-spouse,Other-service,Husband,White,Male,0,0,2,United-States,<=50K
2,State-gov,170525.0,Some-college,10,Never-married,Adm-clerical,Not-in-family,White,Female,0,0,2,United-States,<=50K
