0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49,50,51,52,53,54,55,56,57,58,59,60,61,62,63,64,65,66,67,68,69,70
36.0,8.0,0.0,4.0,61.0,2.0,5.0,10.0,11.0,9.0,9.0,8.0,7.0,1.0,3.0,1.0,1.0,0.0,20.0,5.0,26.0,1.0,14.0,35.0,19.0,4.0,28.0,3.0,16.0,24.0,0.0,0.0,3.0,2.0,9.0,7.0,15.0,5.0,41.0,12.0,2.0,4.0,3.0,1.0,1.0,5.0,5.0,5.0,4.0,17.0,60.0,1.0,4.0,7.0,3.0,5.0,51.0,1.0,2.0,24.0,7.0,8.0,3.0,13.0,1.0,5.0,16.0,10.0,3.0,1.0,0.0
26.0,10.0,0.0,6.0,47.0,4.0,2.0,10.0,6.0,18.0,8.0,10.0,13.0,2.0,5.0,1.0,1.0,6.0,23.0,8.0,15.0,2.0,16.0,37.0,6.0,3.0,27.0,1.0,9.0,13.0,1.0,2.0,1.0,3.0,8.0,5.0,24.0,4.0,52.0,9.0,4.0,4.0,10.0,2.0,5.0,7.0,9.0,3.0,5.0,13.0,80.0,8.0,1.0,2.0,0.0,6.0,44.0,1.0,1.0,19.0,7.0,5.0,4.0,6.0,1.0,4.0,17.0,12.0,4.0,1.0,0.0
38.0,9.0,0.0,5.0,44.0,4.0,13.0,14.0,8.0,16.0,4.0,17.0,10.0,7.0,15.0,0.0,0.0,4.0,22.0,5.0,4.0,4.0,16.0,8.0,5.0,7.0,28.0,5.0,26.0,16.0,2.0,2.0,4.0,4.0,9.0,6.0,20.0,5.0,60.0,4.0,8.0,7.0,8.0,1.0,4.0,15.0,0.0,7.0,2.0,29.0,68.0,10.0,3.0,10.0,2.0,8.0,49.0,1.0,1.0,8.0,8.0,4.0,8.0,3.0,9.0,8.0,14.0,8.0,7.0,1.0,0.0
33.0,6.0,0.0,5.0,44.0,4.0,9.0,17.0,14.0,15.0,4.0,16.0,8.0,1.0,11.0,3.0,0.0,5.0,18.0,3.0,11.0,1.0,4.0,29.0,4.0,7.0,20.0,4.0,16.0,49.0,2.0,6.0,5.0,4.0,10.0,8.0,24.0,5.0,25.0,12.0,2.0,6.0,3.0,2.0,6.0,12.0,3.0,3.0,3.0,14.0,57.0,2.0,4.0,8.0,1.0,6.0,51.0,9.0,2.0,20.0,5.0,4.0,3.0,3.0,2.0,11.0,10.0,11.0,3.0,1.0,0.0
30.0,5.0,0.0,5.0,51.0,4.0,2.0,8.0,11.0,18.0,5.0,9.0,12.0,0.0,7.0,2.0,3.0,0.0,15.0,4.0,17.0,2.0,17.0,25.0,9.0,4.0,26.0,2.0,14.0,22.0,4.0,2.0,6.0,3.0,9.0,5.0,29.0,6.0,43.0,17.0,2.0,6.0,3.0,0.0,2.0,15.0,0.0,3.0,7.0,17.0,54.0,10.0,3.0,4.0,1.0,3.0,40.0,6.0,0.0,26.0,10.0,7.0,3.0,5.0,8.0,8.0,8.0,6.0,3.0,1.0,0.0
35.0,4.0,0.0,4.0,41.0,4.0,1.0,15.0,17.0,18.0,5.0,18.0,12.0,1.0,5.0,1.0,1.0,2.0,16.0,5.0,15.0,1.0,14.0,36.0,19.0,3.0,26.0,3.0,2.0,20.0,2.0,0.0,4.0,2.0,8.0,10.0,29.0,3.0,42.0,6.0,6.0,6.0,3.0,1.0,2.0,5.0,3.0,8.0,5.0,17.0,70.0,4.0,3.0,5.0,0.0,4.0,53.0,2.0,3.0,41.0,12.0,4.0,5.0,6.0,5.0,0.0,13.0,6.0,4.0,1.0,0.0
34.0,6.0,0.0,2.0,46.0,5.0,6.0,7.0,6.0,18.0,8.0,17.0,13.0,1.0,13.0,0.0,1.0,0.0,10.0,2.0,14.0,2.0,15.0,42.0,7.0,9.0,22.0,4.0,8.0,22.0,1.0,2.0,7.0,6.0,7.0,12.0,36.0,8.0,34.0,7.0,6.0,9.0,1.0,2.0,5.0,13.0,0.0,6.0,4.0,13.0,47.0,3.0,4.0,5.0,0.0,9.0,53.0,1.0,5.0,27.0,9.0,4.0,5.0,4.0,6.0,5.0,11.0,16.0,3.0,1.0,0.0
20.0,5.0,0.0,6.0,49.0,2.0,6.0,20.0,9.0,19.0,11.0,13.0,15.0,0.0,11.0,0.0,1.0,3.0,10.0,5.0,27.0,3.0,12.0,56.0,7.0,10.0,25.0,3.0,9.0,20.0,0.0,1.0,3.0,4.0,7.0,13.0,38.0,3.0,50.0,7.0,6.0,6.0,0.0,0.0,6.0,4.0,2.0,5.0,0.0,16.0,61.0,4.0,4.0,1.0,1.0,2.0,59.0,0.0,0.0,24.0,2.0,10.0,4.0,3.0,0.0,3.0,15.0,17.0,4.0,1.0,0.0
30.0,11.0,0.0,5.0,49.0,5.0,14.0,25.0,14.0,24.0,4.0,11.0,4.0,7.0,7.0,2.0,1.0,5.0,15.0,3.0,11.0,1.0,15.0,10.0,2.0,10.0,31.0,5.0,19.0,39.0,1.0,4.0,1.0,6.0,7.0,5.0,21.0,5.0,59.0,11.0,2.0,7.0,9.0,2.0,5.0,7.0,1.0,1.0,2.0,22.0,61.0,8.0,2.0,0.0,1.0,4.0,49.0,1.0,1.0,8.0,6.0,3.0,4.0,9.0,3.0,1.0,17.0,4.0,5.0,1.0,0.0
34.0,6.0,0.0,10.0,49.0,5.0,3.0,12.0,7.0,17.0,7.0,10.0,9.0,3.0,7.0,1.0,0.0,1.0,7.0,9.0,13.0,3.0,13.0,27.0,6.0,3.0,34.0,2.0,18.0,18.0,3.0,3.0,9.0,5.0,6.0,11.0,17.0,2.0,70.0,9.0,2.0,4.0,4.0,0.0,1.0,7.0,4.0,6.0,8.0,25.0,84.0,4.0,0.0,4.0,0.0,6.0,62.0,1.0,0.0,19.0,3.0,7.0,3.0,5.0,3.0,4.0,11.0,4.0,8.0,1.0,0.0
19.0,8.0,0.0,8.0,45.0,0.0,5.0,14.0,3.0,20.0,6.0,13.0,8.0,6.0,2.0,2.0,0.0,1.0,18.0,3.0,12.0,1.0,16.0,29.0,5.0,2.0,26.0,2.0,7.0,23.0,2.0,1.0,9.0,6.0,20.0,3.0,18.0,2.0,61.0,6.0,3.0,7.0,2.0,1.0,0.0,16.0,4.0,6.0,4.0,16.0,67.0,12.0,1.0,3.0,1.0,7.0,42.0,3.0,0.0,19.0,8.0,5.0,3.0,2.0,5.0,11.0,16.0,13.0,10.0,1.0,0.0
35.0,12.0,0.0,2.0,58.0,1.0,5.0,5.0,12.0,19.0,4.0,16.0,9.0,1.0,8.0,1.0,1.0,4.0,14.0,3.0,13.0,1.0,13.0,36.0,12.0,4.0,28.0,1.0,14.0,21.0,3.0,4.0,5.0,2.0,13.0,13.0,25.0,2.0,55.0,13.0,7.0,8.0,2.0,0.0,1.0,13.0,2.0,6.0,5.0,15.0,62.0,4.0,5.0,9.0,1.0,6.0,52.0,0.0,3.0,25.0,5.0,4.0,3.0,5.0,3.0,4.0,18.0,0.0,1.0,1.0,0.0
21.0,7.0,0.0,5.0,48.0,5.0,4.0,12.0,10.0,24.0,4.0,18.0,8.0,2.0,10.0,5.0,2.0,3.0,16.0,3.0,6.0,3.0,7.0,24.0,15.0,5.0,25.0,1.0,18.0,26.0,0.0,2.0,3.0,4.0,14.0,11.0,30.0,2.0,45.0,8.0,3.0,5.0,3.0,1.0,2.0,9.0,5.0,8.0,2.0,17.0,46.0,3.0,7.0,5.0,2.0,2.0,61.0,2.0,5.0,25.0,3.0,7.0,3.0,5.0,2.0,6.0,12.0,11.0,9.0,1.0,0.0
33.0,3.0,0.0,7.0,45.0,0.0,4.0,22.0,8.0,17.0,7.0,9.0,15.0,10.0,9.0,2.0,1.0,5.0,16.0,4.0,19.0,8.0,6.0,34.0,7.0,7.0,28.0,2.0,11.0,15.0,2.0,2.0,7.0,3.0,17.0,7.0,13.0,6.0,50.0,13.0,3.0,4.0,1.0,5.0,5.0,9.0,3.0,4.0,5.0,11.0,59.0,9.0,0.0,3.0,1.0,7.0,51.0,1.0,3.0,24.0,2.0,5.0,3.0,5.0,0.0,5.0,16.0,7.0,9.0,1.0,0.0
34.0,12.0,0.0,10.0,39.0,3.0,9.0,19.0,4.0,28.0,6.0,14.0,6.0,3.0,9.0,1.0,0.0,1.0,22.0,3.0,10.0,1.0,12.0,15.0,11.0,2.0,22.0,2.0,20.0,29.0,7.0,4.0,7.0,6.0,18.0,7.0,22.0,2.0,63.0,7.0,11.0,2.0,7.0,1.0,5.0,15.0,4.0,5.0,7.0,26.0,68.0,4.0,1.0,3.0,2.0,8.0,54.0,1.0,3.0,20.0,10.0,10.0,2.0,4.0,1.0,3.0,11.0,4.0,7.0,1.0,0.0
25.0,5.0,0.0,3.0,46.0,2.0,7.0,12.0,9.0,26.0,5.0,20.0,7.0,8.0,9.0,1.0,1.0,2.0,23.0,3.0,13.0,2.0,10.0,48.0,18.0,9.0,24.0,3.0,23.0,27.0,0.0,0.0,3.0,8.0,14.0,10.0,26.0,1.0,37.0,6.0,1.0,7.0,6.0,0.0,5.0,16.0,0.0,2.0,1.0,19.0,32.0,6.0,4.0,1.0,3.0,8.0,45.0,4.0,2.0,29.0,2.0,13.0,3.0,5.0,3.0,7.0,14.0,7.0,4.0,1.0,0.0
33.0,4.0,0.0,1.0,55.0,4.0,4.0,13.0,16.0,21.0,6.0,17.0,12.0,5.0,1.0,2.0,1.0,2.0,19.0,7.0,12.0,3.0,10.0,51.0,28.0,1.0,35.0,3.0,7.0,18.0,2.0,5.0,2.0,2.0,2.0,4.0,22.0,4.0,51.0,5.0,3.0,6.0,5.0,0.0,0.0,14.0,4.0,5.0,0.0,17.0,78.0,9.0,3.0,2.0,0.0,6.0,53.0,0.0,4.0,34.0,7.0,5.0,5.0,7.0,0.0,7.0,16.0,9.0,8.0,1.0,0.0
46.0,6.0,0.0,9.0,39.0,6.0,2.0,16.0,7.0,18.0,3.0,14.0,9.0,4.0,2.0,0.0,3.0,3.0,12.0,6.0,12.0,3.0,9.0,24.0,4.0,0.0,31.0,12.0,12.0,18.0,5.0,4.0,2.0,4.0,4.0,10.0,20.0,1.0,65.0,12.0,7.0,2.0,8.0,2.0,2.0,10.0,6.0,7.0,3.0,13.0,79.0,3.0,2.0,6.0,0.0,11.0,50.0,1.0,0.0,17.0,2.0,6.0,4.0,6.0,0.0,22.0,16.0,3.0,22.0,1.0,0.0
37.0,3.0,1.0,7.0,55.0,2.0,0.0,16.0,17.0,19.0,5.0,5.0,11.0,1.0,0.0,0.0,3.0,2.0,15.0,7.0,14.0,1.0,3.0,49.0,9.0,3.0,38.0,6.0,6.0,33.0,4.0,2.0,4.0,2.0,1.0,6.0,17.0,0.0,61.0,14.0,11.0,5.0,2.0,0.0,4.0,10.0,4.0,6.0,4.0,17.0,96.0,3.0,2.0,3.0,0.0,9.0,41.0,2.0,4.0,35.0,7.0,5.0,6.0,8.0,2.0,2.0,18.0,4.0,0.0,1.0,0.0
46.0,3.0,1.0,4.0,52.0,2.0,1.0,12.0,13.0,10.0,6.0,14.0,10.0,0.0,2.0,1.0,1.0,6.0,9.0,8.0,19.0,0.0,10.0,52.0,1.0,5.0,41.0,3.0,4.0,35.0,6.0,0.0,4.0,5.0,1.0,2.0,22.0,4.0,52.0,13.0,6.0,2.0,2.0,0.0,3.0,13.0,6.0,3.0,6.0,12.0,107.0,1.0,1.0,4.0,0.0,5.0,48.0,2.0,0.0,31.0,6.0,8.0,1.0,7.0,0.0,0.0,26.0,4.0,0.0,1.0,0.0
44.0,5.0,0.0,9.0,46.0,6.0,3.0,19.0,8.0,18.0,9.0,14.0,11.0,2.0,2.0,0.0,2.0,2.0,14.0,4.0,14.0,2.0,13.0,37.0,16.0,1.0,31.0,2.0,12.0,24.0,5.0,5.0,4.0,0.0,6.0,1.0,16.0,4.0,60.0,6.0,2.0,5.0,4.0,0.0,6.0,8.0,2.0,4.0,3.0,16.0,88.0,0.0,2.0,3.0,0.0,9.0,47.0,2.0,2.0,27.0,1.0,2.0,6.0,7.0,3.0,3.0,15.0,10.0,5.0,1.0,0.0
40.0,8.0,0.0,4.0,49.0,7.0,2.0,16.0,10.0,9.0,11.0,8.0,12.0,0.0,2.0,0.0,3.0,3.0,19.0,6.0,19.0,0.0,9.0,39.0,18.0,5.0,34.0,3.0,6.0,38.0,2.0,1.0,2.0,4.0,6.0,9.0,21.0,5.0,50.0,2.0,5.0,4.0,4.0,1.0,2.0,8.0,3.0,6.0,2.0,13.0,82.0,2.0,6.0,4.0,0.0,7.0,49.0,0.0,1.0,33.0,9.0,4.0,4.0,10.0,0.0,1.0,20.0,6.0,1.0,1.0,0.0
30.0,20.0,0.0,9.0,57.0,2.0,0.0,14.0,8.0,20.0,9.0,5.0,15.0,0.0,1.0,0.0,1.0,3.0,9.0,11.0,20.0,1.0,7.0,27.0,10.0,1.0,28.0,4.0,1.0,16.0,5.0,1.0,6.0,4.0,2.0,5.0,12.0,1.0,78.0,8.0,1.0,2.0,6.0,1.0,3.0,7.0,6.0,4.0,5.0,22.0,113.0,7.0,0.0,3.0,0.0,5.0,40.0,2.0,1.0,35.0,13.0,9.0,8.0,14.0,1.0,0.0,16.0,4.0,1.0,1.0,0.0
29.0,4.0,0.0,8.0,39.0,3.0,1.0,13.0,12.0,29.0,8.0,7.0,15.0,2.0,0.0,2.0,3.0,5.0,17.0,8.0,15.0,0.0,9.0,47.0,10.0,5.0,37.0,3.0,0.0,18.0,4.0,1.0,5.0,8.0,3.0,3.0,14.0,0.0,69.0,5.0,0.0,4.0,8.0,0.0,6.0,7.0,7.0,3.0,2.0,20.0,113.0,3.0,1.0,2.0,1.0,6.0,61.0,4.0,4.0,28.0,8.0,3.0,4.0,20.0,3.0,1.0,12.0,6.0,0.0,1.0,0.0
36.0,3.0,0.0,6.0,44.0,1.0,3.0,18.0,11.0,16.0,7.0,11.0,8.0,4.0,2.0,1.0,1.0,3.0,12.0,11.0,22.0,2.0,16.0,42.0,7.0,2.0,30.0,3.0,13.0,24.0,1.0,2.0,3.0,3.0,7.0,15.0,26.0,3.0,37.0,13.0,4.0,5.0,3.0,3.0,2.0,8.0,3.0,5.0,3.0,16.0,65.0,2.0,0.0,6.0,0.0,5.0,54.0,5.0,1.0,24.0,7.0,7.0,3.0,14.0,1.0,1.0,9.0,5.0,10.0,1.0,0.0
20.0,7.0,0.0,8.0,59.0,2.0,3.0,25.0,11.0,17.0,6.0,17.0,7.0,1.0,2.0,3.0,9.0,2.0,14.0,10.0,28.0,1.0,5.0,51.0,10.0,10.0,26.0,3.0,3.0,24.0,0.0,1.0,9.0,4.0,6.0,9.0,19.0,2.0,50.0,8.0,2.0,6.0,5.0,0.0,1.0,6.0,5.0,4.0,8.0,14.0,62.0,7.0,3.0,8.0,0.0,7.0,50.0,1.0,4.0,27.0,12.0,5.0,3.0,8.0,1.0,3.0,14.0,6.0,4.0,1.0,0.0
28.0,5.0,1.0,5.0,36.0,9.0,4.0,22.0,15.0,24.0,3.0,12.0,11.0,4.0,8.0,0.0,0.0,2.0,14.0,6.0,12.0,7.0,12.0,22.0,24.0,5.0,27.0,2.0,21.0,29.0,1.0,4.0,3.0,6.0,11.0,10.0,24.0,4.0,31.0,9.0,5.0,6.0,5.0,3.0,7.0,20.0,5.0,6.0,7.0,34.0,52.0,3.0,2.0,3.0,1.0,6.0,44.0,1.0,2.0,17.0,5.0,6.0,3.0,9.0,4.0,10.0,15.0,12.0,7.0,1.0,0.0
44.0,8.0,0.0,6.0,69.0,5.0,7.0,10.0,16.0,24.0,4.0,11.0,9.0,5.0,3.0,1.0,2.0,3.0,16.0,8.0,10.0,1.0,6.0,21.0,10.0,6.0,29.0,3.0,14.0,38.0,2.0,9.0,3.0,4.0,7.0,5.0,18.0,5.0,38.0,11.0,8.0,4.0,9.0,2.0,3.0,14.0,2.0,5.0,4.0,12.0,80.0,2.0,3.0,7.0,0.0,7.0,56.0,4.0,2.0,31.0,5.0,7.0,5.0,6.0,2.0,7.0,20.0,6.0,3.0,1.0,0.0
27.0,10.0,0.0,4.0,45.0,7.0,4.0,14.0,14.0,10.0,9.0,22.0,11.0,3.0,7.0,1.0,4.0,2.0,18.0,7.0,16.0,8.0,20.0,20.0,17.0,5.0,19.0,4.0,14.0,16.0,1.0,1.0,1.0,4.0,11.0,7.0,33.0,3.0,41.0,10.0,4.0,2.0,10.0,1.0,6.0,11.0,4.0,6.0,4.0,15.0,61.0,5.0,3.0,4.0,0.0,7.0,58.0,1.0,2.0,14.0,5.0,2.0,5.0,3.0,2.0,5.0,14.0,9.0,8.0,1.0,0.0
30.0,4.0,0.0,7.0,56.0,1.0,6.0,23.0,16.0,27.0,7.0,10.0,11.0,12.0,5.0,3.0,3.0,4.0,15.0,5.0,12.0,3.0,4.0,39.0,11.0,7.0,21.0,1.0,8.0,26.0,2.0,1.0,4.0,7.0,11.0,10.0,23.0,4.0,41.0,13.0,2.0,4.0,2.0,1.0,2.0,15.0,2.0,10.0,1.0,19.0,57.0,7.0,4.0,6.0,0.0,6.0,55.0,3.0,0.0,20.0,11.0,4.0,7.0,3.0,0.0,5.0,11.0,9.0,5.0,1.0,0.0
23.0,10.0,0.0,6.0,51.0,8.0,3.0,19.0,14.0,16.0,7.0,17.0,9.0,5.0,3.0,1.0,5.0,3.0,17.0,16.0,17.0,1.0,17.0,46.0,3.0,4.0,30.0,2.0,8.0,33.0,1.0,0.0,3.0,8.0,3.0,7.0,19.0,4.0,46.0,6.0,2.0,6.0,9.0,0.0,2.0,9.0,5.0,4.0,2.0,29.0,69.0,1.0,2.0,5.0,0.0,8.0,52.0,0.0,3.0,29.0,5.0,9.0,3.0,7.0,3.0,8.0,15.0,4.0,10.0,1.0,0.0
37.0,11.0,0.0,8.0,58.0,7.0,0.0,15.0,19.0,13.0,5.0,14.0,11.0,3.0,3.0,0.0,4.0,7.0,21.0,11.0,21.0,0.0,7.0,57.0,13.0,2.0,28.0,2.0,7.0,28.0,2.0,1.0,4.0,3.0,3.0,8.0,16.0,3.0,65.0,12.0,4.0,5.0,9.0,1.0,3.0,15.0,1.0,9.0,3.0,16.0,80.0,6.0,2.0,2.0,0.0,4.0,46.0,0.0,3.0,27.0,9.0,6.0,5.0,14.0,1.0,2.0,10.0,7.0,1.0,1.0,0.0
33.0,16.0,0.0,4.0,60.0,6.0,4.0,14.0,8.0,15.0,7.0,16.0,6.0,3.0,6.0,2.0,1.0,2.0,16.0,8.0,12.0,2.0,16.0,50.0,7.0,4.0,17.0,1.0,8.0,19.0,0.0,0.0,2.0,6.0,7.0,7.0,24.0,7.0,55.0,10.0,2.0,4.0,7.0,1.0,2.0,10.0,5.0,6.0,5.0,17.0,51.0,5.0,2.0,9.0,0.0,5.0,37.0,2.0,2.0,28.0,9.0,4.0,1.0,8.0,1.0,6.0,20.0,1.0,3.0,1.0,0.0
41.0,8.0,0.0,8.0,42.0,4.0,4.0,12.0,14.0,15.0,8.0,14.0,8.0,0.0,4.0,0.0,2.0,0.0,24.0,13.0,28.0,0.0,6.0,55.0,37.0,5.0,33.0,3.0,6.0,16.0,0.0,1.0,5.0,4.0,3.0,5.0,18.0,5.0,57.0,10.0,5.0,6.0,6.0,0.0,3.0,6.0,5.0,4.0,5.0,18.0,59.0,4.0,1.0,5.0,0.0,5.0,54.0,1.0,5.0,23.0,2.0,4.0,2.0,11.0,0.0,3.0,12.0,7.0,3.0,1.0,0.0
31.0,8.0,0.0,7.0,47.0,4.0,1.0,16.0,10.0,18.0,9.0,9.0,14.0,2.0,0.0,0.0,2.0,2.0,17.0,7.0,29.0,0.0,4.0,13.0,52.0,1.0,35.0,2.0,0.0,19.0,4.0,0.0,6.0,7.0,2.0,10.0,13.0,1.0,68.0,12.0,3.0,3.0,6.0,0.0,3.0,1.0,1.0,5.0,3.0,17.0,86.0,18.0,0.0,3.0,1.0,5.0,70.0,1.0,2.0,23.0,12.0,6.0,0.0,14.0,5.0,1.0,9.0,2.0,0.0,1.0,0.0
50.0,13.0,0.0,4.0,64.0,7.0,4.0,18.0,7.0,16.0,8.0,15.0,8.0,0.0,2.0,0.0,2.0,8.0,18.0,11.0,30.0,0.0,11.0,48.0,12.0,1.0,27.0,1.0,8.0,18.0,2.0,1.0,3.0,5.0,3.0,7.0,13.0,4.0,62.0,2.0,1.0,6.0,4.0,1.0,0.0,4.0,4.0,6.0,4.0,13.0,52.0,4.0,1.0,3.0,1.0,4.0,49.0,2.0,1.0,34.0,6.0,4.0,4.0,5.0,3.0,8.0,14.0,4.0,2.0,4.0,0.0
50.0,9.0,0.0,2.0,53.0,11.0,4.0,7.0,7.0,21.0,7.0,17.0,6.0,3.0,8.0,0.0,1.0,7.0,20.0,3.0,9.0,5.0,23.0,17.0,9.0,11.0,20.0,2.0,18.0,29.0,0.0,4.0,6.0,11.0,10.0,6.0,22.0,2.0,34.0,6.0,9.0,8.0,5.0,0.0,2.0,16.0,3.0,5.0,3.0,17.0,34.0,3.0,2.0,3.0,2.0,6.0,55.0,3.0,3.0,9.0,7.0,7.0,8.0,4.0,6.0,5.0,10.0,10.0,7.0,4.0,0.0
40.0,4.0,0.0,10.0,64.0,6.0,0.0,17.0,9.0,11.0,8.0,16.0,6.0,0.0,0.0,0.0,3.0,8.0,12.0,13.0,34.0,1.0,7.0,24.0,45.0,0.0,29.0,0.0,0.0,23.0,2.0,1.0,4.0,3.0,0.0,8.0,12.0,3.0,73.0,7.0,4.0,4.0,4.0,0.0,2.0,8.0,5.0,5.0,7.0,13.0,67.0,4.0,1.0,6.0,0.0,0.0,58.0,3.0,2.0,44.0,6.0,1.0,6.0,7.0,5.0,1.0,13.0,6.0,0.0,4.0,0.0
