prototype,normalization__with_std,normalization__with_scaling,normalization__with_mean,normalization__with_centering,normalization__type,imputation__type,imputation__strategy,imputation__initial_strategy,imputation__imputation_order,features__type,features__n_components,features__k,discretization__type,discretization__threshold,discretization__strategy,discretization__n_bins,discretization__encode,classification__weights,classification__type,classification__splitter,classification__n_neighbors,classification__min_samples_split,classification__min_samples_leaf,classification__metric,classification__max_leaf_nodes,classification__max_features,classification__max_depth,classification__criterion,balanced_accuracy__status,balanced_accuracy__balanced_accuracy
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,5,ordinal,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5507389162561577
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,uniform,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5558292282430213
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,uniform,5,ordinal,distance,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5311165845648604
imputation_normalization_discretization_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,uniform,5,ordinal,uniform,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5265188834154352
features_imputation_discretization_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.5332512315270936
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,uniform,KNeighborsClassifier,,16,,,manhattan,,,,,success,0.548440065681445
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,5,ordinal,uniform,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5378489326765189
features_normalization_imputation_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,5,ordinal,distance,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5528735632183908
discretization_features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,uniform,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.5426108374384236
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,16,,,manhattan,,,,,success,0.5351395730706077
features_discretization_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.5332512315270936
features_normalization_discretization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5400656814449917
normalization_features_discretization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,uniform,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.5379310344827586
imputation_features_normalization_discretization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,uniform,5,ordinal,uniform,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.5405582922824302
features_normalization_discretization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,5,ordinal,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5507389162561577
imputation_discretization_features_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,uniform,KNeighborsClassifier,,16,,,manhattan,,,,,success,0.5386699507389163
imputation_features_normalization_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,uniform,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5450738916256157
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.5391625615763548
features_imputation_normalization_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,uniform,KNeighborsClassifier,,16,,,manhattan,,,,,success,0.5366995073891626
imputation_normalization_discretization_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.5327586206896552
imputation_discretization_features_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,4,ordinal,uniform,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5341543513957306
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,6,ordinal,distance,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5323481116584564
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,uniform,KNeighborsClassifier,,15,,,euclidean,,,,,success,0.527504105090312
imputation_normalization_features_discretization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,13,,,minkowski,,,,,success,0.5402298850574712
features_normalization_imputation_discretization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,6,ordinal,distance,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5490968801313628
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,4,ordinal,uniform,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5431855500821018
discretization_features_normalization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,4,ordinal,uniform,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5533661740558292
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,6,ordinal,distance,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.5334154351395731
features_imputation_discretization_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5247126436781608
normalization_imputation_features_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,uniform,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.5379310344827586
discretization_imputation_features_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,uniform,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5296387520525452
normalization_discretization_features_imputation_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5327586206896552
features_discretization_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,uniform,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5296387520525452
imputation_discretization_normalization_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5312807881773398
features_normalization_discretization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,uniform,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5558292282430213
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5327586206896552
features_normalization_imputation_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5446633825944172
imputation_normalization_features_discretization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,quantile,5,ordinal,uniform,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.5481937602627258
imputation_discretization_features_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,5,ordinal,distance,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.5257799671592777
features_imputation_discretization_normalization_classification,,,,,PowerTransformer,FunctionTransformer,,,,FunctionTransformer,,,KBinsDiscretizer,,kmeans,3,ordinal,,GaussianNB,,,,,,,,,,fail,-inf
features_imputation_normalization_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,KBinsDiscretizer,,uniform,5,ordinal,uniform,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.550903119868637
normalization_discretization_features_imputation_classification,,True,,True,RobustScaler,FunctionTransformer,,,,SelectKBest,,2,KBinsDiscretizer,,quantile,3,ordinal,,DecisionTreeClassifier,random,,2,2,,4,2,1,gini,fail,-inf
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,FunctionTransformer,,,,SelectKBest,,2,FunctionTransformer,,,,,,GaussianNB,,,,,,,,,,fail,-inf
imputation_features_discretization_normalization_classification,,,,,MinMaxScaler,FunctionTransformer,,,,SelectKBest,,3,KBinsDiscretizer,,uniform,4,ordinal,,DecisionTreeClassifier,random,,4,2,,4,1,2,entropy,fail,-inf
discretization_features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,16,,,manhattan,,,,,success,0.5334154351395731
features_normalization_imputation_discretization_classification,True,,True,,StandardScaler,SimpleImputer,most_frequent,,,PCA,2,,FunctionTransformer,,,,,,DecisionTreeClassifier,random,,2,4,,2,2,1,gini,fail,-inf
discretization_features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,18,,,manhattan,,,,,success,0.5450738916256158
discretization_features_imputation_normalization_classification,,,,,FunctionTransformer,IterativeImputer,,constant,roman,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,3,,,euclidean,,,,,success,0.49055829228243014
discretization_features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,16,,,manhattan,,,,,success,0.5258620689655172
discretization_features_imputation_normalization_classification,True,,True,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,18,,,minkowski,,,,,success,0.529064039408867
discretization_imputation_features_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,10,,,manhattan,,,,,success,0.5324302134646962
normalization_imputation_discretization_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,11,,,manhattan,,,,,success,0.5236453201970444
normalization_features_imputation_discretization_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,2.0,,,,distance,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.5421182266009852
features_discretization_imputation_normalization_classification,,False,,False,RobustScaler,SimpleImputer,constant,,,FunctionTransformer,,,Binarizer,5.0,,,,distance,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.5347290640394089
discretization_imputation_features_normalization_classification,,False,,False,RobustScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,Binarizer,0.5,,,,uniform,KNeighborsClassifier,,9,,,manhattan,,,,,success,0.5363711001642036
imputation_features_normalization_discretization_classification,True,,True,,StandardScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,18,,,minkowski,,,,,success,0.5202791461412151
features_discretization_imputation_normalization_classification,True,,True,,StandardScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,18,,,minkowski,,,,,success,0.535632183908046
features_normalization_imputation_discretization_classification,True,,True,,StandardScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,17,,,minkowski,,,,,success,0.5198686371100164
features_discretization_imputation_normalization_classification,True,,True,,StandardScaler,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,18,,,euclidean,,,,,success,0.529064039408867
normalization_features_imputation_discretization_classification,True,,True,,StandardScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,16,,,euclidean,,,,,success,0.515353037766831
discretization_imputation_features_normalization_classification,True,,True,,StandardScaler,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,18,,,minkowski,,,,,success,0.535632183908046
imputation_discretization_normalization_features_classification,,False,,False,RobustScaler,IterativeImputer,,constant,arabic,PCA,3,,Binarizer,2.0,,,,uniform,KNeighborsClassifier,,10,,,manhattan,,,,,success,0.47422003284072245
features_discretization_normalization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,18,,,manhattan,,,,,success,0.5283251231527093
discretization_normalization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,9,,,manhattan,,,,,success,0.5279146141215108
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5524630541871921
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,10,,,manhattan,,,,,success,0.530295566502463
features_imputation_discretization_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5491789819376026
discretization_normalization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5243021346469623
imputation_features_discretization_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.5179802955665025
features_discretization_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,11,,,manhattan,,,,,success,0.5358784893267652
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,15,,,manhattan,,,,,success,0.5407224958949095
features_normalization_imputation_discretization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,11,,,manhattan,,,,,success,0.5236453201970444
discretization_imputation_normalization_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.5464696223316913
features_discretization_normalization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5117405582922825
normalization_features_imputation_discretization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,15,,,minkowski,,,,,success,0.538423645320197
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,11,,,euclidean,,,,,success,0.5313628899835796
discretization_features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5371100164203612
discretization_features_imputation_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.5156814449917897
normalization_imputation_features_discretization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5311165845648603
discretization_normalization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.5386699507389162
features_imputation_discretization_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.5463054187192118
features_imputation_discretization_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5284893267651889
discretization_normalization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.5464696223316913
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5311165845648605
normalization_imputation_discretization_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,14,,,manhattan,,,,,success,0.5392446633825945
normalization_discretization_imputation_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.5283251231527093
imputation_normalization_features_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5524630541871921
features_imputation_discretization_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5408866995073891
normalization_discretization_features_imputation_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,16,,,manhattan,,,,,success,0.538423645320197
features_normalization_discretization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,10,,,manhattan,,,,,success,0.5600985221674877
features_normalization_discretization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,12,,,manhattan,,,,,success,0.5600164203612479
imputation_discretization_normalization_features_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,8,,,manhattan,,,,,success,0.5339901477832514
normalization_imputation_features_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,7,,,manhattan,,,,,success,0.527504105090312
normalization_imputation_features_discretization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5227422003284072
discretization_imputation_normalization_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,9,,,manhattan,,,,,success,0.5279146141215108
discretization_features_normalization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,11,,,manhattan,,,,,success,0.5375205254515599
features_normalization_discretization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,7,,,manhattan,,,,,success,0.5208538587848933
discretization_imputation_features_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5401477832512315
normalization_features_imputation_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,11,,,manhattan,,,,,success,0.5410509031198687
features_imputation_discretization_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,9,,,manhattan,,,,,success,0.542200328407225
imputation_discretization_normalization_features_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,13,,,manhattan,,,,,success,0.5401477832512315
normalization_features_imputation_discretization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,7,,,manhattan,,,,,success,0.5208538587848933
features_normalization_imputation_discretization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,9,,,manhattan,,,,,success,0.5233990147783251
imputation_discretization_features_normalization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,11,,,manhattan,,,,,success,0.5358784893267652
imputation_discretization_features_normalization_classification,,,,,FunctionTransformer,SimpleImputer,most_frequent,,,FunctionTransformer,,,FunctionTransformer,,,,,distance,KNeighborsClassifier,,10,,,manhattan,,,,,success,0.5165845648604269
normalization_imputation_features_discretization_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,10,,,manhattan,,,,,success,0.5332512315270936
normalization_features_discretization_imputation_classification,,,,,FunctionTransformer,SimpleImputer,constant,,,FunctionTransformer,,,FunctionTransformer,,,,,uniform,KNeighborsClassifier,,11,,,manhattan,,,,,success,0.5524630541871922
